network,gridIndex,alpha,betaNormalized,prIntact,prBlock,deltaPR,observedPct,expectedPct,deficitPP,kControl,captureControl,beforeControl,captureBlock,denominator
4,35,1,1,2.76748364472982,4.55510130194808,1.78761765721826,64.3701004978351,45.3889459133364,-18.9811545844986,6,0.955103753319713,0.932472582868715,0.92525042763175,178.595253093926
4,36,1,1.25,2.76748364472982,5.15411907990121,2.38663543517139,57.9731545209447,45.3889459133364,-12.5842086076083,6,0.955103753319713,0.932472582868715,0.919989169269459,178.595253093926
5,1,0.1,0.1,4.21222187182446,6.96546046571823,2.75323859389377,41.6882006708321,44.9928533313416,3.30465266050942,7,0.969316906495761,0.949471115027864,0.919199448482634,123.059665334943
5,2,0.1,0.25,4.21222187182446,7.06059302888743,2.84837115706297,24.9599716243584,44.9928533313416,20.0328817069831,7,0.969316906495761,0.949471115027864,0.944979945360223,123.059665334943
5,3,0.1,0.5,4.21222187182446,7.06491616310588,2.85269429128142,12.5471573361982,44.9928533313416,32.4456959951434,7,0.969316906495761,0.949471115027864,0.965704742738239,123.059665334943
5,4,0.1,0.75,4.21222187182446,7.04391598287846,2.831694111054,8.61918197981816,44.9928533313416,36.3736713515234,7,0.969316906495761,0.949471115027864,0.972240766125801,123.059665334943
5,5,0.1,1,4.21222187182446,7.03107226583386,2.8188503940094,7.00472487049599,44.9928533313416,37.9881284608456,7,0.969316906495761,0.949471115027864,0.974925522285921,123.059665334943
5,6,0.1,1.25,4.21222187182446,7.02377426837078,2.81155239654632,6.19778052391181,44.9928533313416,38.7950728074298,7,0.969316906495761,0.949471115027864,0.976313607680802,123.059665334943
5,7,0.2,0.1,4.21222187182446,5.85804905391251,1.64582718208806,62.202099228297,44.9928533313416,-17.2092458969554,7,0.969316906495761,0.949471115027864,0.931974131413867,123.059665334943
5,8,0.2,0.25,4.21222187182446,6.44978960473571,2.23756773291125,43.8811562990512,44.9928533313416,1.1116970322904,7,0.969316906495761,0.949471115027864,0.94573509320672,123.059665334943
5,9,0.2,0.5,4.21222187182446,6.9233620535844,2.71114018175994,23.9556147506154,44.9928533313416,21.0372385807262,7,0.969316906495761,0.949471115027864,0.963488162292425,123.059665334943
5,10,0.2,0.75,4.21222187182446,7.00762549304959,2.79540362122513,15.4137791082401,44.9928533313416,29.5790742231015,7,0.969316906495761,0.949471115027864,0.970712836727667,123.059665334943
5,11,0.2,1,4.21222187182446,7.02146567250614,2.80924380068169,11.3863303827138,44.9928533313416,33.6065229486277,7,0.969316906495761,0.949471115027864,0.973930589229116,123.059665334943
5,12,0.2,1.25,4.21222187182446,7.02310671966646,2.81088484784201,9.23745186919477,44.9928533313416,35.7554014621468,7,0.969316906495761,0.949471115027864,0.975645905799338,123.059665334943
