network,s_init,s_temporal,policy,PR,observedPct,expectedPct,deficitPP,K95,C,R2,shuffleR2,matchedR2,peakSpeedMps,endpointRmsM,targetSeparationScatter,nearZero,missingWindow,boundaryPeak,multipleLargePeak,undefinedC,prepPC75,movePC75,predictionEvaluable
6,0.10000000000000001,0.10000000000000001,3,5.1148566594857616,16.758744767078763,47.049613543611081,30.290868776532317,6,-1.6694749230257442,0.96576539203197243,-0.01050686127930256,NaN,0.2761258677733594,0.023938064499206938,3.5679932957562261,0,0,2,32,0,7,7,1
6,0.10000000000000001,0.10000000000000001,4,6.2677722796431921,31.648265696742701,47.049613543611081,15.401347846868379,6,-2.0040426124680812,0.84135548111706016,-0.010189249317758331,0.8876526142661324,0.32674220795324571,0.060723169390975058,2.3086534390373434,0,0,43,28,0,9,11,1
6,0.20000000000000001,0.10000000000000001,1,3.6926843773483262,99.999999999999915,46.86905741825359,-53.130942581746325,6,-0.51656028765854434,0.90595368413646871,-0.0099087565333404459,0.89304886808203532,0.41936587840571327,0.024390648958614786,5.9956303427321895,0,0,0,0,0,17,10,1
6,0.20000000000000001,0.10000000000000001,4,6.2308034172411322,31.750706773921156,46.86905741825359,15.118350644332434,6,-0.71581097008336292,0.82495864337377756,-0.010199489539915008,0.86170062724884566,0.33429413118833812,0.066393261823690125,2.0842350515817096,0,0,43,24,0,12,13,1
6,0.10000000000000001,0.050000000000000003,1,3.6147038287365256,100.00000000000009,47.514224410794021,-52.485775589206064,6,-0.64344714928895963,0.98789515634512559,-0.0093610240302145487,0.98789515634512559,0.41804247400309347,0.012183870723663866,11.879697168050024,0,0,0,0,0,5,3,1
6,0.10000000000000001,0.050000000000000003,4,6.252102907244188,31.662731343147527,47.514224410794021,15.851493067646494,6,-0.93136002898459602,0.93459514571509039,-0.01060261148932895,0.96474049842606069,0.29627436609424124,0.03367018295708242,4.1190097212026773,0,0,35,11,0,6,6,1
6,0.10000000000000001,0.20000000000000001,1,3.9858673023263895,100.00000000000017,48.893308421445248,-51.106691578554923,7,-3.6782322425420078,0.73610706077432186,-0.010164491408937493,0.71925578235762322,0.42242781239911792,0.048375361610122104,3.0841019759150927,0,0,1,12,0,29,21,1
6,0.10000000000000001,0.20000000000000001,4,6.3045825127009048,30.984662387319219,48.893308421445248,17.908646034126029,7,-4.1390090134805675,0.62134849280950988,-0.010182100012536721,0.63465674535304539,0.42221861709728037,0.11347926781931376,1.2386624488161666,0,0,48,33,0,26,23,1
7,0.050000000000000003,0.10000000000000001,1,3.4287438476703547,99.999999999999929,42.665762526480655,-57.334237473519273,6,-4.5717543127566014,0.92516562138714165,-0.011167818467665791,0.91471013397554968,0.42047942972593361,0.026875374220821788,5.4746754551176897,0,0,0,2,0,14,8,1
7,0.050000000000000003,0.10000000000000001,4,6.5212917970576658,25.881236386276147,42.665762526480655,16.784526140204509,6,-5.3224963472354467,0.86036822402635582,-0.010112164468354057,0.92653910208453405,0.31018126343174607,0.065701650443899334,1.3094019718112631,0,0,18,55,0,10,12,1
7,0.10000000000000001,0.10000000000000001,1,3.4224445018362109,100.00000000000003,42.572656399959726,-57.427343600040302,6,-1.9057182466037299,0.92149223284695048,-0.010962415293466865,0.90456218434605018,0.42058962466681826,0.026916440356647975,5.4699027452103932,0,0,0,2,0,15,9,1
7,0.10000000000000001,0.10000000000000001,2,3.4129660555021162,83.438154036055565,42.572656399959726,-40.865497636095839,6,-2.4103767047066231,0.91648461288534144,-0.010648909837287945,NaN,0.44360419131177592,0.069209504461505103,2.173790075938872,0,0,2,38,0,14,9,1
7,0.10000000000000001,0.10000000000000001,3,5.5338698978217753,15.427930639691919,42.572656399959726,27.144725760267807,6,-1.9134711119665089,0.96351467813639402,-0.010241942814659732,NaN,0.31554657557014038,0.026488514749930202,3.976791291694826,0,0,2,31,0,7,7,1
7,0.10000000000000001,0.10000000000000001,4,6.5248022825960872,25.925968939098563,42.572656399959726,16.646687460861163,6,-2.2915142137827993,0.85352926040997446,-0.0099083108650411811,0.91041281336037572,0.31312181183188403,0.066691766929151824,1.3079435595611593,0,0,20,56,0,11,13,1
7,0.20000000000000001,0.10000000000000001,1,3.4231629258511007,99.999999999999943,42.248665514083569,-57.751334485916374,6,-0.69925520314189804,0.9106419359234168,-0.010816852544825117,0.9042940226030669,0.42085458339892295,0.027068508551233949,5.4491085915999911,0,0,0,1,0,17,10,1
7,0.20000000000000001,0.10000000000000001,4,6.5299957766609662,26.079724185552518,42.248665514083569,16.168941328531051,6,-0.91774622061775579,0.84591213674295362,-0.0097032190912994531,0.89267023540965174,0.32187838234140326,0.071542331451819985,1.2692666912590083,0,0,16,60,0,15,14,1
7,0.10000000000000001,0.050000000000000003,1,3.3330015238233917,99.999999999999929,43.013583610677557,-56.986416389322372,6,-0.85098506423551168,0.98699369180137519,-0.011353257207965761,0.98699369180137519,0.41839034153157878,0.013352186428526097,10.825376795272765,0,0,0,0,0,4,3,1
7,0.10000000000000001,0.050000000000000003,4,6.5503488138106798,25.925164385046447,43.013583610677557,17.08841922563111,6,-1.1386523413780478,0.95509573761559496,-0.01066245306134983,0.91701429350495922,0.28244868655306637,0.036306845125073657,2.4010478643816673,0,0,11,52,0,6,6,1
7,0.10000000000000001,0.20000000000000001,1,3.706880776939935,100.00000000000004,40.852713426059196,-59.147286573940846,6,-4.0610431491976797,0.73566631875164457,-0.010361391275960918,0.72791302258751511,0.42765129102967842,0.053812033224862652,2.8657803683231835,0,0,0,15,0,28,21,1
7,0.10000000000000001,0.20000000000000001,4,6.5063095502976118,26.987820463871849,40.852713426059196,13.864892962187348,6,-4.5667482812742461,0.65503635382060466,-0.010420390679299563,0.67491647541112132,0.40963577912436966,0.12409320560960174,0.78264115560261738,0,0,26,60,0,27,24,1
8,0.050000000000000003,0.10000000000000001,1,3.5714404995597522,100.00000000000017,45.213753290561385,-54.786246709438785,7,-4.4518408827790212,0.93523213727946886,-0.010945503174620175,0.91629377765503517,0.41995752258911845,0.025855714525488339,5.5778146696913264,0,0,0,0,0,15,8,1
8,0.050000000000000003,0.10000000000000001,4,6.5556059119917416,27.262730165577963,45.213753290561385,17.951023124983422,7,-5.225590456935489,0.89454274568275938,-0.010701599332620493,0.93261372756378025,0.27481763805964721,0.057329423148132795,1.8651877321149868,0,0,27,71,0,9,10,1
8,0.10000000000000001,0.10000000000000001,1,3.5725697706038724,99.999999999999929,45.039421375902712,-54.960578624097217,7,-1.8563544870685758,0.92699878717913264,-0.010838830742254446,0.90778050490793416,0.41994305319093717,0.025793169152419689,5.5898822892285702,0,0,0,0,0,16,9,1
8,0.10000000000000001,0.10000000000000001,2,3.225813143396183,80.698281717183377,45.039421375902712,-35.658860341280665,7,-2.3711917116690158,0.91197870846124685,-0.010552870445373008,NaN,0.43085654485155461,0.058972621081968997,2.2363669917707387,0,0,7,39,0,14,9,1
