network,s_init,s_temporal,policy,target,trial,fold,K95,capture,beforeCapture,d_precue,d_prego,ratio,C,undefinedC,moMs,peakMs,peakSpeedMps,nearZero,missingWindow,boundaryPeak,largePeakCount,denominatorGuard,peakPositionX_M,peakPositionY_M
4,0.20000000000000001,0.10000000000000001,1,4,28,2,53,0.95060713896169746,0.94831495040724734,5.9379447116023982,10.470848666232587,1.7633792793276029,-0.76337927932760286,0,55,202,0.49269104385563128,0,0,0,1,2.2737367544323206e-13,0.036834645187879822,0.2354693037078241
4,0.20000000000000001,0.10000000000000001,1,4,29,2,53,0.95060713896169746,0.94831495040724734,6.5362180473425902,8.5432581456943382,1.3070644344809983,-0.30706443448099829,0,47,195,0.42477055815191672,0,0,0,1,2.2737367544323206e-13,0.030940642213844127,0.23187961625484585
4,0.20000000000000001,0.10000000000000001,1,4,30,3,54,0.9518112908711498,0.94967410283286469,5.7524247147136123,8.0158962985599089,1.3934813050324266,-0.39348130503242662,0,54,188,0.34992196511820922,0,0,0,1,2.2737367544323206e-13,0.024495423227886171,0.22179463125635349
4,0.20000000000000001,0.10000000000000001,1,5,1,3,50,0.95139810739102681,0.94913610652811764,5.1912931937677289,9.1259438132653763,1.7579326523536156,-0.75793265235361562,0,57,186,0.32461496108959992,0,0,0,2,2.2737367544323206e-13,-0.006042874119039976,0.22821022753739661
4,0.20000000000000001,0.10000000000000001,1,5,2,3,50,0.95139810739102681,0.94913610652811764,4.4627332646929032,10.814430460539535,2.4232751139527751,-1.4232751139527751,0,55,198,0.38554438693137161,0,0,0,1,2.2737367544323206e-13,0.0037308950771102745,0.23834291742559199
4,0.20000000000000001,0.10000000000000001,1,5,3,2,51,0.95151545368536539,0.94932883735200757,5.9173324974678527,11.033759995455272,1.8646510062053878,-0.86465100620538782,0,63,201,0.35455037719600774,0,0,0,1,2.2737367544323206e-13,0.0035702401710194231,0.23390408113629221
4,0.20000000000000001,0.10000000000000001,1,5,4,3,50,0.95139810739102681,0.94913610652811764,5.6215125953243676,7.3888223831354845,1.3143833190520746,-0.31438331905207462,0,56,193,0.38968307394537488,0,0,0,1,2.2737367544323206e-13,0.0021526957102040445,0.23710346269777319
4,0.20000000000000001,0.10000000000000001,1,5,5,3,50,0.95139810739102681,0.94913610652811764,6.4715665698617739,8.8296581687202593,1.3643772452005931,-0.36437724520059311,0,49,189,0.42680998048320468,0,0,0,1,2.2737367544323206e-13,-0.00082432094081363871,0.24184020289477709
4,0.20000000000000001,0.10000000000000001,1,5,6,3,50,0.95139810739102681,0.94913610652811764,6.1793043235110625,9.6726513625911092,1.565330149833944,-0.56533014983394403,0,63,205,0.45352933323861816,0,0,0,1,2.2737367544323206e-13,0.0069994983772393993,0.24440643001497037
4,0.20000000000000001,0.10000000000000001,1,5,7,2,51,0.95151545368536539,0.94932883735200757,5.1906061919029352,11.83133446740986,2.2793743216093145,-1.2793743216093145,0,54,199,0.43920064499301009,0,0,0,1,2.2737367544323206e-13,-0.0012069616707373609,0.24480853971964675
