network,lambda,PR,deltaPR,observedPct,expectedPct,deficitPP
5,100,4.1395034612324153,0.08522513298174772,75.376827776422871,50.997123907759736,-24.379703868663139
6,0.10000000000000001,3.6021922602876013,0,100.00000000000016,50.047049878867135,-49.952950121133021
6,0.20000000000000001,3.6052038289646573,0.0030115686770559869,99.86922129706069,50.047049878867135,-49.822171418193548
6,0.5,3.6258322696884977,0.023640009400896389,99.272839112806935,50.047049878867135,-49.2257892339398
6,1,3.6476493042728992,0.045457043985297929,98.383356621252361,50.047049878867135,-48.336306742385226
6,2,3.6643286560502926,0.062136395762691254,96.890817022845539,50.047049878867135,-46.843767143978411
6,5,3.6589335917679997,0.056741331480398394,93.659715438801754,50.047049878867135,-43.612665559934626
6,10,3.6241915622556786,0.021999301968077312,90.26262950333475,50.047049878867135,-40.215579624467622
6,100,3.3578247935798489,-0.24436746670775245,76.580394491862734,50.047049878867135,-26.533344612995602
7,0.10000000000000001,3.5569093199390442,0,99.999999999999929,46.956789176481301,-53.043210823518635
7,0.20000000000000001,3.556477256262089,-0.00043206367695525216,99.79931390076608,46.956789176481301,-52.842524724284786
7,0.5,3.5481040424468251,-0.0088052774922191546,98.766515147597715,46.956789176481301,-51.809725971116414
7,1,3.5281560150973159,-0.028753304841728333,97.074412175491645,46.956789176481301,-50.117622999010351
7,2,3.4861847308874885,-0.070724589051555764,94.259064290213658,46.956789176481301,-47.302275113732357
7,5,3.3895192562010683,-0.16739006373797594,88.904188680650137,46.956789176481301,-41.947399504168843
7,10,3.3180413972516836,-0.23886792268736068,84.374800341544159,46.956789176481301,-37.41801116506285
7,100,3.3938061720588788,-0.16310314788016544,72.445032187093759,46.956789176481301,-25.488243010612461
8,0.10000000000000001,3.604268695331037,0,100.00000000000003,47.751387648920328,-52.248612351079693
8,0.20000000000000001,3.604559721078274,0.00029102574723705033,99.799201804550037,47.751387648920328,-52.047814155629702
8,0.5,3.6088904395758705,0.0046217442448335255,98.73062456094911,47.751387648920328,-50.979236912028782
8,1,3.6054139747523664,0.0011452794213293593,97.029332695310941,47.751387648920328,-49.277945046390613
8,2,3.5887107637885811,-0.015557931542455883,94.379092807499944,47.751387648920328,-46.627705158579616
8,5,3.5554049830890579,-0.048863712241979051,89.671780659198134,51.76477561985341,-37.907005039344725
8,10,3.5349282965408078,-0.069340398790229241,85.572599645174989,51.76477561985341,-33.807824025321587
8,100,3.4776030616170162,-0.12666563371402084,71.225909133900217,51.76477561985341,-19.461133514046814
