network,s_init,s_temporal,deltaC,deltaR2,relativeR2LossPct,relativeLossDefined,R2Intact,R2Block
6,0.10000000000000001,0.20000000000000001,-0.46077677093855973,-0.11475856796481199,15.589928976376855,1,0.73610706077432186,0.62134849280950988
7,0.050000000000000003,0.10000000000000001,-0.75074203447884535,-0.064797397360785824,7.0038699950428578,1,0.92516562138714165,0.86036822402635582
7,0.10000000000000001,0.10000000000000001,-0.38579596717906939,-0.067962972436976021,7.3753169060366792,1,0.92149223284695048,0.85352926040997446
7,0.20000000000000001,0.10000000000000001,-0.21849101747585775,-0.064729799180463177,7.1081504845068793,1,0.9106419359234168,0.84591213674295362
7,0.10000000000000001,0.050000000000000003,-0.28766727714253615,-0.031897954185780231,3.2318295902745695,1,0.98699369180137519,0.95509573761559496
7,0.10000000000000001,0.20000000000000001,-0.50570513207656642,-0.08062996493103991,10.96012728540587,1,0.73566631875164457,0.65503635382060466
8,0.050000000000000003,0.10000000000000001,-0.77374957415646772,-0.040689391596709479,4.3507264105650121,1,0.93523213727946886,0.89454274568275938
8,0.10000000000000001,0.10000000000000001,-0.41954868337673634,-0.027020548163466218,2.9148418031581294,1,0.92699878717913264,0.89997823901566643
8,0.20000000000000001,0.10000000000000001,-0.23184004129506441,-0.052885551190571256,5.7612304410200501,1,0.91795583828803839,0.86507028709746714
8,0.10000000000000001,0.050000000000000003,-0.30512647317463049,-0.03116587534365467,3.1366466553112353,1,0.99360491532834838,0.96243903998469371
8,0.10000000000000001,0.20000000000000001,-0.50228065410100164,-0.075100256544384569,10.206396164748767,1,0.7358156133873055,0.66071535684292093
9,0.050000000000000003,0.10000000000000001,-0.79594440020642399,-0.09995978111493764,10.491605234163229,1,0.95275964815607228,0.85279986704113464
9,0.10000000000000001,0.10000000000000001,-0.41758931905358887,-0.092171424728543783,9.7869384269188728,1,0.94177995924677771,0.84960853451823393
9,0.20000000000000001,0.10000000000000001,-0.22398421765068177,-0.11007667333879001,11.850249969362389,1,0.92889747999731653,0.81882080665852652
9,0.10000000000000001,0.050000000000000003,-0.27102450297144631,-0.11533178897894747,11.621300364828802,1,0.99241724556050981,0.87708545658156234
9,0.10000000000000001,0.20000000000000001,-0.58657486763120881,-0.11323576958567272,14.892319253346969,1,0.76036356499826985,0.64712779541259713
10,0.050000000000000003,0.10000000000000001,-0.67821044539284525,-0.13504844168509333,14.725856220293069,1,0.91708379916808425,0.78203535748299091
10,0.10000000000000001,0.10000000000000001,-0.36372780312385578,-0.13231317002101139,14.612325110999652,1,0.90549018733104025,0.77317701731002886
10,0.20000000000000001,0.10000000000000001,-0.20885920625994758,-0.11779358730726797,13.273988145258024,1,0.88740163105651371,0.76960804374924574
10,0.10000000000000001,0.050000000000000003,-0.24437257713982219,-0.023598023110540378,2.390894837657854,1,0.9869954436664915,0.96339742055595112
10,0.10000000000000001,0.20000000000000001,-0.48338170654466328,-0.11589723981211097,16.536992750534946,1,0.70083624973689296,0.58493900992478198
