network,direction,gridIndex,alphaIndex,betaIndex,alpha,betaNormalized,beta,rho,rank,normalizedVarianceRatio,rawVarianceRatio,minimumRate,endpointRateMax,endpointStateMax,endpointInputMax,analytical,rhoMargin,rateRealizable,modulationOK,endpointBoundsOK,tested,physical,finitePhenotype,feasible,settle,rateMax,stateMax,corticalMax,sustainedMax,feedbackMax,cbMax,totalMax,prIntact,prBlock,analyticPRBlock,analyticAI,kIntact,kBlock,commonK,intactCapture,blockCapture,blockGap,observed,expected,nullSE,nullHalfDifference,alignmentMargin,equilibriumResidual,localMaxReal,localEulerRadius,reason
9,3,31,6,1,1,0.1,0.356321626794494,0.126965101721475,7,1.01,1.00817682666744,0.0615482200103021,2.05135565115762,14.9532659301454,146.014631943581,0,-31.5752584239591,1,1,1,1,1,0,0,7.95997121465016e-15,2.05135565115842,14.9532659309955,136.920153476081,10.6584693913117,9.44871029249971,14.2650429602459,146.014631943581,3.23715368002929,3.27180817583746,3.27180817583746,0.990239308756857,6,6,6,0.969599907585821,0.968486471442822,0.152961476752736,0.991340512135381,0.550978181363597,0.000876110537262686,-0.000575873359634382,-0.472296192116311,0,-286.07865339556,0.942784638719695,finite_geometry;outside_sufficient_bound;
9,3,32,6,2,1,0.25,0.890804066986236,0.793531885759219,7,1.0625,1.04848105724283,0.0251827589107738,2.04098407593044,14.9798151799119,146.014631943581,0,-30.9086916399213,1,1,1,1,1,0,0,7.69842838052109e-15,2.04098407593146,14.9798151799153,138.891159468425,26.6461734782792,9.44871029249971,28.4618536191201,146.014631943581,3.23715368002929,3.44884768183616,3.44884768183617,0.945447243847546,6,6,6,0.969599907585821,0.962984786971529,0.15296147675274,0.950854791668027,0.550978181363597,0.000876110537262686,-0.000575873359634382,-0.431810471648957,0,-286.07865339556,0.942784638719695,finite_geometry;outside_sufficient_bound;
9,3,33,6,3,1,0.5,1.78160813397247,3.17412754303687,7,1.25,1.19042541639973,-0.0354263429217735,2.02369811721849,15.0430065533902,146.014631943581,0,-28.5280959826437,0,1,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.23715368002929,NaN,4.01391837680261,0.834626781550315,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,negative_rate;
9,3,34,6,4,1,0.75,2.67241220095871,7.14178697183297,7,1.5625,1.4258330774707,-0.0960354447543207,2.00641215850653,15.1296094436949,158.484865503322,0,-24.5604365538476,0,1,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.23715368002929,NaN,4.74217355212972,0.71978304706377,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,negative_rate;
9,3,35,6,5,1,1,3.56321626794494,12.6965101721475,7,2,1.75470404045573,-0.156644546586868,1.99715774499633,15.2392247205861,174.444463670211,0,-19.0057133535331,0,1,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.23715368002929,NaN,5.423840729628,0.6150281130623,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,negative_rate;
9,3,36,6,6,1,1.25,4.45402033493118,19.8382971439805,7,2.5625,2.17703830535483,-0.217253648419415,2.03851390206228,15.3713600784928,192.761622296132,0,-11.8639263817001,0,0,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.23715368002929,NaN,5.9472163048326,0.523384686304698,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,negative_rate;modulation_envelope;
10,1,1,1,1,0.1,0.1,0.368583045354852,13.5853461323057,7,0.02,0.0178063507452918,0.54796020235549,1.51535555220167,14.4419524243967,161.625488624623,0,-13.6601372626325,1,0,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.35351154823501,NaN,5.50383240068757,0.623355140784391,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,modulation_envelope;
10,1,2,1,2,0.1,0.25,0.921457613387129,84.9084133269103,7,0.0725,0.0594724878587605,0.555209582504257,1.57568129316681,14.5092438227583,161.625488624623,1,57.6629299319721,1,0,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.35351154823501,NaN,6.85812546563529,0.239228406970308,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,modulation_envelope;
10,1,3,1,3,0.1,0.5,1.84291522677426,339.633653307641,7,0.26,0.208800345702624,0.519386889367063,1.7078038207101,14.6417528488714,161.625488624623,1,312.388169912703,1,0,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.35351154823501,NaN,6.98875839381076,0.0758666801789929,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,modulation_envelope;
10,1,4,1,4,0.1,0.75,2.76437284016139,764.175719942193,7,0.5725,0.457983573531592,0.446866776187237,1.8399263482534,14.7991040007336,161.625488624623,1,736.930236547255,1,1,1,1,1,1,1,9.90452910778701e-15,1.8399263482534,14.7998016653585,149.78701946495,150.874992365682,10.4885264583051,161.232035228646,161.625488624623,3.35351154823501,6.99767845002686,6.99767845002685,0.0355162446450856,5,7,7,1,1,6.77764443143427,0.0355162446450856,0.629441889582223,0.000742744467496977,0.00110536445240772,0.56199178359261,0,-286.042260981815,0.942791587046796,certified_feasible
10,1,5,1,5,0.1,1,3.68583045354851,1358.53461323056,7,1.01,0.807022171345663,0.37434666300741,1.97204887579669,14.9805144944871,179.288845406992,1,1331.28912983563,1,1,1,1,1,1,1,7.70170316125884e-15,1.97204887579669,14.9807082574129,166.981427917658,167.820601447392,11.4952722848714,179.288845406992,161.625488624623,3.35351154823501,6.99925392233643,6.99925392233643,0.0203595205275917,5,7,7,1,1,12.0380622226072,0.0203595205275917,0.629441889582223,0.000742744467496977,0.00110536445240772,0.577148507710104,0,-286.042260981815,0.942791587046796,certified_feasible
10,1,6,1,6,0.1,1.25,4.60728806693564,2122.71033317276,7,1.5725,1.25591613914484,0.255168177232303,2.12373686420945,15.1851220730181,200.109384508315,1,2095.46484977782,1,1,1,1,1,1,1,6.25799928989147e-15,2.12373686420945,15.185145166852,186.728962997517,187.356631861448,12.7848634871643,200.109384508315,161.625488624623,3.35351154823501,6.99969219712576,6.99969219712576,0.0131465412767363,5,7,7,1,1,18.8014565255439,0.0131465412767363,0.629441889582223,0.000742744467496977,0.00110536445240772,0.584361486960959,0,-286.042260981815,0.942791587046796,certified_feasible
10,1,7,2,1,0.2,0.1,0.368583045354852,3.39633653307641,7,0.05,0.0476242718917753,0.501112567104562,1.55163260396056,14.4690879894664,161.625488624623,0,-23.8491468618618,1,0,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.35351154823501,NaN,4.12756998586872,0.842701342631566,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,modulation_envelope;
10,1,8,2,2,0.2,0.25,0.921457613387129,21.2271033317276,7,0.1025,0.0890172907249692,0.521290742759917,1.59094575016746,14.5362193100949,161.625488624623,0,-6.0183800632106,1,0,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.35351154823501,NaN,6.00551636097067,0.528538952076949,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,modulation_envelope;
10,1,9,2,3,0.2,0.5,1.84291522677426,84.9084133269103,7,0.29,0.237889951435042,0.491528936621467,1.68295895390804,14.6684277338983,161.625488624623,1,57.6629299319721,1,0,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.35351154823501,NaN,6.85812546563529,0.239228406970308,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,modulation_envelope;
10,1,10,2,4,0.2,0.75,2.76437284016139,191.043929985548,7,0.6025,0.486617982130218,0.419008823441641,1.81508148145133,14.8254394570931,161.625488624623,1,163.79844659061,1,1,1,1,1,1,1,9.71679827455992e-15,1.81508148145133,14.8260546691793,138.521116504556,139.439958680023,10.4885264583051,148.99537521302,161.625488624623,3.35351154823501,6.96661107150327,6.96661107150328,0.126010273560689,5,7,7,1,1,6.82039481692726,0.126010273560689,0.629441889582223,0.000742744467496977,0.00110536445240772,0.471497754677006,0,-286.042260981815,0.942791587046796,certified_feasible
