network,direction,gridIndex,alpha,betaNormalized,targetErrorsMM_1,targetErrorsMM_2,targetErrorsMM_3,targetErrorsMM_4,targetErrorsMM_5,targetErrorsMM_6,targetErrorsMM_7,targetErrorsMM_8,finiteMovement,endpointErrorMM_1,endpointErrorMM_2,endpointErrorMM_3,endpointErrorMM_4,endpointErrorMM_5,endpointErrorMM_6,endpointErrorMM_7,endpointErrorMM_8
5,2,24,0.5,1.25,25.8924015917881,22.5824777564117,18.4162276730744,6.77017604504381,22.0346057272988,23.4996907166803,17.8236903380553,16.9396201445966,1,106.580038308394,76.6540033400831,121.700741717307,45.582803443383,26.651363193793,117.315434876364,84.3197247292833,62.5602402384677
5,3,16,0.35,0.75,19.7228351659426,19.4848192045764,26.2249666538374,18.6745591022853,14.9385165528561,27.1048542268831,22.4672823524169,24.5475835920133,1,31.2000707237065,66.4985698593502,100.168628815787,44.6095271618937,23.4750420584614,71.8200017466254,60.065676343795,43.1867205528474
6,1,5,0.1,1,35.4077934165654,33.0235803040048,34.1503666138707,27.8574058275092,34.5363620373744,27.9362707500217,31.0013779099764,31.0197602122607,1,88.0014731360104,85.8082214450571,102.135208066957,69.0464478139837,132.732971040117,61.6714929738806,124.320295136938,69.1679555905276
6,2,24,0.5,1.25,16.9311089324572,17.7867332957406,11.4184977938643,12.7236603504417,12.3384803318708,14.3742299695514,20.8991313991672,10.7073610643179,1,68.2960563155692,72.3528391866676,49.4361062174819,58.1427663359645,28.3057645881638,65.68526943687,114.422547061944,26.8002462693128
6,3,16,0.35,0.75,24.6381928100832,25.1063270872829,22.8675279489747,20.0914686705161,22.2320884101041,22.3357686391502,21.2183035354205,18.79561932276,1,50.2176200448027,74.2651096115335,101.627664830396,88.5294475457891,44.77954220119,42.7421020412278,62.2241482823597,45.2154235591589
7,1,5,0.1,1,22.1153616831918,31.1096031321487,33.5876308766541,25.6447580486299,31.073532519736,31.1062091799662,34.7412753174264,24.0612485110154,1,47.8143120292189,67.0050128528841,91.2944702729088,110.064913593409,120.72861853423,96.9428929205508,110.823594185762,43.5989065574212
7,2,24,0.5,1.25,13.4850119805719,17.8905440892102,28.853731423603,9.20146555470432,29.3055952633206,12.9087176700997,23.7919578257517,16.2466853592724,1,37.7673685836583,66.463891322761,172.075502487352,45.2348392175786,120.610234587185,61.2559741292184,70.3866575215047,32.8049306324161
7,3,16,0.35,0.75,25.5617082905446,22.3110022369824,23.0293057483777,17.0136567186699,29.5533465238804,22.2216599248692,22.2778880323282,20.1023665642068,1,95.1375143171609,77.2181146717118,69.0488306330002,37.3021606647986,103.0177335957,70.0695957098356,66.5901144552048,28.4378689753743
8,1,5,0.1,1,32.2459879582403,33.9811520908756,35.3999187747131,36.4727845175206,34.1101035510043,28.7821360095231,33.7560415910859,36.3644676047308,1,62.9823014513585,79.4986586255634,69.9004225253729,142.484836166755,105.697285300355,87.5647347551857,100.848425817213,108.934301397071
8,2,24,0.5,1.25,19.4978713119489,22.7269122848359,18.1764864954627,23.0056146192799,16.8531681015755,11.3865230894237,22.9276542939316,28.4668666991719,1,19.363590007644,160.022187030031,89.854792831673,28.927553922387,60.897133316302,70.6392443519239,98.9748255774251,91.7061484395738
8,3,16,0.35,0.75,15.9489382807737,21.6251290861129,17.1871374142153,23.6570425034703,23.9079191455968,21.7655908993664,20.0821313979047,24.1597150949215,1,34.453424071424,48.3153884408095,74.8153656334295,68.1570945900547,90.4946935922337,71.6892501532701,59.5850099348917,22.1746275043282
9,1,5,0.1,1,34.0654676396056,33.7539629786651,23.7575403820801,33.7430803584314,33.9021734246372,32.152774429525,31.6719666151336,33.3217451545656,1,122.803200842449,88.2922040663373,53.428386033457,111.850435080094,134.62230987061,137.235809009193,98.1406970201078,89.3846994936947
9,2,24,0.5,1.25,16.0924066257669,17.2790909968562,16.2500886351747,29.6306111955123,5.02177639295094,20.7305430905263,21.8557053510418,13.8693127670171,1,98.589873975833,65.6309397033905,52.2341887776663,150.153206223845,46.3258780751793,128.180626338226,50.0961113835938,15.6861951426427
9,3,16,0.35,0.75,19.2869349460541,23.6858786697837,20.5057443793011,23.2543725369979,23.3399937936728,19.1113511345535,22.8498064883569,21.6651407429862,1,62.5475391779806,85.0010917553122,37.8172272488072,72.635998956288,114.338785939275,70.533417084411,66.1734999918239,52.2450516101696
10,1,5,0.1,1,36.1120516589845,27.0800009552349,36.5858690696065,28.9592964945035,38.1189674191248,33.8015082512172,32.7686813038553,33.9297072442327,1,112.839091358666,85.6221882496561,117.979164375973,54.5039693865721,84.6916562409766,93.4752949555031,84.1711237908725,49.2330143190117
10,2,15,0.35,0.5,23.3376519862107,22.4186481626505,22.8288839537436,22.8447584821846,18.9214553113182,23.040470581341,20.6485783259508,21.2224196814273,1,72.5698736252621,57.9063646419884,72.070415771543,85.4054279712645,62.6047128907043,98.1517504757814,56.6226625440137,52.5728757001791
10,3,24,0.5,1.25,6.85118933579614,24.2091622286697,15.5468106185892,24.895358440702,24.0538831838737,16.8758141460416,14.9451626471529,16.0978358849922,1,58.3748024639066,55.1132846496454,45.7396869269381,75.9537065045361,162.511269546975,17.9240889782829,99.7070017493813,87.8529872351398
