network,policy,target,goDistanceStar,goDistanceBlock,goRelativeBlock,goNormalizedEQ,eq50ms,eq90ms,state50ms,state90ms,eqAt50,eqAt100,eqAt200,stateAt50,stateAt100,stateAt200,source
3,3,5,3.27017204313626,2.35035030558373,0.947671169123688,0.044384581395106,3,13,NaN,NaN,0.0349463148488278,0.0429700458762869,0.0445822383469622,0.904740042532177,1.08503708769284,1.24385869941241,E:\PROJECTS\Nirvik_Sinha_Data\cerebellar-preparatory-dynamics-model\results\stage_3\current\cache\biological_revision\resume_02\n03_p3.mat
3,3,6,4.18046462409241,2.54336394042364,1.04505854063989,0.0313479308719326,3,9,NaN,NaN,0.0273650494949907,0.0311436064969894,0.0313560616924272,0.918322807704071,1.07350210808101,1.19743286621633,E:\PROJECTS\Nirvik_Sinha_Data\cerebellar-preparatory-dynamics-model\results\stage_3\current\cache\biological_revision\resume_02\n03_p3.mat
3,3,7,3.45847326381326,3.21699171736419,1.27196764880428,0.0219347710988691,3,9,NaN,NaN,0.0193387027624147,0.0217986369508037,0.0219535931689758,0.872791322930936,1.04583652479501,1.15039477815035,E:\PROJECTS\Nirvik_Sinha_Data\cerebellar-preparatory-dynamics-model\results\stage_3\current\cache\biological_revision\resume_02\n03_p3.mat
3,3,8,3.4516935370989,2.36779605208556,0.948505765107994,0.0241787570546579,3,10,NaN,NaN,0.0205257481938234,0.0237074225518702,0.0242132041254721,0.967715413967639,1.15247080811938,1.28950944129575,E:\PROJECTS\Nirvik_Sinha_Data\cerebellar-preparatory-dynamics-model\results\stage_3\current\cache\biological_revision\resume_02\n03_p3.mat
3,4,1,3.31382097750273,0.0766780484884527,0.0316520807634179,0.565352279546506,NaN,NaN,NaN,NaN,0.774318830988352,0.60582023984058,0.512958856720747,1.13980828536007,1.2201542751313,1.22624181456033,E:\PROJECTS\Nirvik_Sinha_Data\cerebellar-preparatory-dynamics-model\results\stage_3\current\cache\biological_revision\resume_02\n03_p4.mat
3,4,2,3.69697528638952,0.0824414530513984,0.0328785877271533,0.971594880901507,NaN,NaN,NaN,NaN,0.957006482601537,0.935835815596068,0.965365873539367,1.11937818953102,1.24238424301139,1.32141580294822,E:\PROJECTS\Nirvik_Sinha_Data\cerebellar-preparatory-dynamics-model\results\stage_3\current\cache\biological_revision\resume_02\n03_p4.mat
3,4,3,3.48782545199108,0.0974487747340858,0.0380384685289219,1.01029006074251,NaN,NaN,NaN,NaN,0.850046826089571,0.836129482770871,0.989834251338472,1.06218722436682,1.1336886311938,1.19062380852133,E:\PROJECTS\Nirvik_Sinha_Data\cerebellar-preparatory-dynamics-model\results\stage_3\current\cache\biological_revision\resume_02\n03_p4.mat
3,4,4,3.04157209193497,0.106005914157907,0.0409379431063995,1.12727023153554,NaN,NaN,NaN,NaN,0.897314836235584,0.918212550172115,1.10479135729896,1.08438093648589,1.22540188003751,1.30736051918282,E:\PROJECTS\Nirvik_Sinha_Data\cerebellar-preparatory-dynamics-model\results\stage_3\current\cache\biological_revision\resume_02\n03_p4.mat
3,4,5,3.27781971387399,0.104185018055193,0.042007839270162,0.80968811271647,NaN,NaN,NaN,NaN,0.937911288736294,0.851580609356261,0.779682072212274,1.09812289016645,1.2180082347617,1.28183859257834,E:\PROJECTS\Nirvik_Sinha_Data\cerebellar-preparatory-dynamics-model\results\stage_3\current\cache\biological_revision\resume_02\n03_p4.mat
3,4,6,3.99581489603479,0.101495357820023,0.0417040553415447,0.663082790145542,NaN,NaN,NaN,NaN,0.866496734471726,0.746668381758515,0.662768461383352,1.0847693886464,1.14609244706366,1.15953367684921,E:\PROJECTS\Nirvik_Sinha_Data\cerebellar-preparatory-dynamics-model\results\stage_3\current\cache\biological_revision\resume_02\n03_p4.mat
