network,policy,target,trial,MOms,peakMs,peakMps,nearZero,boundaryPeak,missingWindow,numberLargePeaks
1,1,2,10,57,200,0.409617756548358,0,0,0,1
1,1,2,11,57,199,0.415819572691385,0,0,0,1
1,1,2,12,58,202,0.430695757122993,0,0,0,1
1,1,2,13,57,200,0.414410701927672,0,0,0,1
1,1,2,14,53,195,0.424956378340584,0,0,0,1
1,1,2,15,61,204,0.425765254632764,0,0,0,1
1,1,2,16,54,195,0.425787367242456,0,0,0,1
1,1,2,17,54,198,0.413719376904343,0,0,0,1
1,1,2,18,59,201,0.4226441185497,0,0,0,1
1,1,2,19,59,205,0.425069095046558,0,0,0,1
1,1,2,20,49,192,0.387288828240754,0,0,0,1
1,1,2,21,51,193,0.42035353055822,0,0,0,1
1,1,2,22,56,199,0.408076892358924,0,0,0,1
1,1,2,23,55,200,0.4127409899964,0,0,0,1
1,1,2,24,57,206,0.429189426912428,0,0,0,1
1,1,2,25,56,200,0.424503081841026,0,0,0,1
1,1,2,26,58,205,0.411619584695613,0,0,0,1
1,1,2,27,61,215,0.429194949357372,0,0,0,1
1,1,2,28,56,198,0.434317462853293,0,0,0,1
1,1,2,29,55,202,0.416402775713368,0,0,0,1
1,1,2,30,57,198,0.418709217554069,0,0,0,1
1,1,3,1,53,198,0.37121023115093,0,0,0,1
1,1,3,2,56,205,0.43800690851335,0,0,0,1
1,1,3,3,54,202,0.414069635014766,0,0,0,1
1,1,3,4,52,195,0.38674088504154,0,0,0,1
1,1,3,5,54,203,0.429916809408026,0,0,0,1
1,1,3,6,53,192,0.346099275639448,0,0,0,1
1,1,3,7,56,206,0.425359149691462,0,0,0,1
1,1,3,8,56,206,0.435275690339088,0,0,0,1
1,1,3,9,63,215,0.446365929096066,0,0,0,1
1,1,3,10,56,201,0.440508552690395,0,0,0,1
1,1,3,11,54,201,0.411875159018733,0,0,0,1
1,1,3,12,57,205,0.402501235980352,0,0,0,1
1,1,3,13,57,205,0.40606062259655,0,0,0,1
1,1,3,14,59,208,0.439317702328374,0,0,0,1
1,1,3,15,56,208,0.430674198356597,0,0,0,1
1,1,3,16,58,200,0.357768424390161,0,0,0,1
1,1,3,17,56,206,0.451960272547294,0,0,0,1
1,1,3,18,54,200,0.388484360786155,0,0,0,1
1,1,3,19,61,208,0.440275856237706,0,0,0,1
1,1,3,20,59,212,0.416441229087309,0,0,0,1
1,1,3,21,55,201,0.43848418636413,0,0,0,1
1,1,3,22,53,200,0.398629889602417,0,0,0,1
1,1,3,23,53,195,0.369324501818708,0,0,0,1
1,1,3,24,59,210,0.45504108696128,0,0,0,1
1,1,3,25,58,204,0.421774410429851,0,0,0,1
1,1,3,26,55,204,0.430123150974522,0,0,0,1
1,1,3,27,53,204,0.477882633155798,0,0,0,1
1,1,3,28,58,208,0.406282707547608,0,0,0,1
1,1,3,29,55,202,0.439800128252515,0,0,0,1
1,1,3,30,58,205,0.40528300298344,0,0,0,1
1,1,4,1,59,198,0.39010330837335,0,0,0,1
1,1,4,2,56,206,0.434399217519179,0,0,0,1
1,1,4,3,57,195,0.328787734878378,0,0,0,1
1,1,4,4,52,192,0.351663723602668,0,0,0,1
1,1,4,5,56,198,0.37638919846432,0,0,0,1
1,1,4,6,53,199,0.423393828532727,0,0,0,1
1,1,4,7,53,200,0.489641750688904,0,0,0,1
1,1,4,8,52,205,0.46074651534937,0,0,0,1
1,1,4,9,52,202,0.403647351963199,0,0,0,1
1,1,4,10,56,205,0.435523180061939,0,0,0,1
1,1,4,11,61,213,0.442731014755542,0,0,0,1
1,1,4,12,52,197,0.395347963652148,0,0,0,1
