network,policy,target,endpointRmsMM,medianMOms,medianPeakMs,medianPeakSpeedMps,nearZero,boundaryPeak,missingWindow
7,2,4,35.281498483095,57,201,0.414069023699831,0,0,0
7,2,5,28.3642594508399,55,199,0.416499286839988,0,0,0
7,2,6,24.5954581605709,54,200,0.415544896611244,0,0,0
7,2,7,26.4518458705468,54,200.5,0.42016852642539,0,0,0
7,2,8,29.1565189129946,56,200.5,0.424663575741434,0,0,0
7,3,1,16.6939666454856,39.5,190,0.300293333639535,0,0,0
7,3,2,24.6475768794086,41,191.5,0.31552070734511,0,0,0
7,3,3,26.4543073059085,39,184,0.279874200936402,0,0,0
7,3,4,21.1906216082874,44,193.5,0.287115821889324,0,0,0
7,3,5,16.7959819141778,36.5,178,0.271771565068412,0,0,0
7,3,6,15.2903368967845,42,188.5,0.286319388097222,0,0,0
7,3,7,15.7964226811784,43,192.5,0.309749026208741,0,0,0
7,3,8,19.7314728161162,47,199,0.306624236014099,0,0,0
7,4,1,25.3274206748989,47.5,207,0.250186572286932,0,0,0
7,4,2,38.8409859189019,58.5,215,0.231180338194221,0,0,0
7,4,3,37.0873444908137,54,199.5,0.197561455375664,0,0,0
7,4,4,34.3628564788945,52,200,0.235567327122056,0,0,0
7,4,5,28.0292315612842,43.5,188,0.191877021643915,0,2,0
7,4,6,24.3298369293179,54,200.5,0.206028881254416,0,0,0
7,4,7,27.1571653442132,59,210.5,0.221073828782335,0,0,0
7,4,8,29.8850451500617,55.5,214.5,0.271716749514858,0,0,0
8,1,1,18.3668875014247,55.5,199.5,0.417246105015865,0,0,0
8,1,2,19.9439786936962,56,199.5,0.423010803298191,0,0,0
8,1,3,18.7716548455326,55,202,0.422392864403802,0,0,0
8,1,4,20.2759372053491,56,200.5,0.414876884401108,0,0,0
8,1,5,17.6166090589667,55,201.5,0.412559010344703,0,0,0
8,1,6,21.5974298471386,56,201,0.419086304016338,0,0,0
8,1,7,20.7366750031597,55,201,0.423956380070596,0,0,0
8,1,8,20.3425915846471,56,199.5,0.415995231287643,0,0,0
8,2,1,26.9065521333072,54.5,199,0.42107904101801,0,0,0
8,2,2,27.3190495078928,56,199,0.430775202484526,0,0,0
8,2,3,28.4414916378912,55,202,0.418432824334695,0,0,0
8,2,4,30.4062758446323,55.5,200.5,0.415774631547944,0,0,0
8,2,5,27.176674630871,54,200,0.404759619525252,0,0,0
8,2,6,33.7912448735384,55,201.5,0.418901196106991,0,0,0
8,2,7,30.1655251052526,54,201,0.418786033390342,0,0,0
8,2,8,26.3673372216063,55.5,200,0.424030125909115,0,0,0
8,3,1,18.7615454133582,43,185,0.258455767476582,0,0,0
8,3,2,19.5546960997806,43,193,0.323769443561349,0,0,0
8,3,3,18.2303636118691,38,181,0.262316260028954,0,0,0
8,3,4,20.3116178074334,39.5,180.5,0.254687771374515,0,0,0
8,3,5,17.0186941136497,54,202.5,0.242380116318232,0,0,0
8,3,6,21.5775740588191,41,189,0.285997362807677,0,0,0
8,3,7,20.2661563540205,43,189,0.316013172842343,0,0,0
