network,gridIndex,alpha,betaNormalized,rateRealizable,modulationOK,inputLimit,endpointInputMax,rateMax,stateMax,componentMax,prIntact,prBlock,rankIntact,rankBlock,captureIntact15,captureBlock15,observed,expected,deltaPR,deficit,commonK,observedAdaptive,expectedAdaptive,inputAuditError,localPole,eulerRadius,tested,feasible,reason
4,14,0.35,0.25,1,0,70.5727003312404,13.8299537410207,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-6.66666666666662,0.998666708109124,0,0,physical endpoint screen
4,15,0.35,0.5,1,1,70.5727003312404,13.8299537410207,2.14320856572323,15.7801767440992,14.1162748537958,3.34468987266365,6.30504578323353,77,77,0.999152776619277,0.99774670055823,0.519882244385176,0.878513612520482,2.96035591056988,0.358631368135306,7,0.475112523639215,0.594630812942017,2.22044604925031e-16,-6.66666666666662,0.998666708109124,1,1,feasible
4,16,0.35,0.75,1,1,70.5727003312404,13.8299537410207,2.261916463891,15.8871024061869,14.1169839987809,3.34468987266365,6.7876271944333,77,77,0.999152776619277,0.998745049274328,0.35911127666997,0.878513612520482,3.44293732176965,0.519402335850512,7,0.303799646674986,0.594630812942017,2.22044604925031e-16,-6.66666666666662,0.998666708109124,1,1,feasible
4,17,0.35,1,1,1,70.5727003312404,14.1002225032917,2.38062335212833,16.0160797882653,14.207210677319,3.34468987266365,6.92837254398355,77,77,0.999152776619277,0.999222657880976,0.261664585596982,0.878513612520482,3.5836826713199,0.6168490269235,7,0.202943011934885,0.594630812942017,2.22044604925031e-16,-6.66666666666662,0.998666708109124,1,1,feasible
4,18,0.35,1.25,1,1,70.5727003312404,16.5620807147159,2.50876007065589,16.1670347853079,16.6645743581453,3.34468987266365,6.9745079674234,77,77,0.999152776619277,0.999476129738616,0.201869788540981,0.878513612520482,3.62981809475975,0.676643823979501,7,0.142489793499247,0.594630812942017,2.22044604925031e-16,-6.66666666666662,0.998666708109124,1,1,feasible
4,19,0.5,0.1,1,1,70.5727003312404,13.8299537410207,2.25269474095561,15.775673480886,14.1145400662481,3.34468987266365,3.62146057170848,77,77,0.999152776619277,0.99689293500153,0.960124664595054,0.878513612520482,0.276770699044831,-0.0816110520745715,6,0.961067104575377,0.538416976413586,2.22044604925031e-16,-6.66666666666662,0.998666708109124,1,1,feasible
4,20,0.5,0.25,1,1,70.5727003312404,13.8299537410207,2.21062427246467,15.7803195607978,14.1145400662481,3.34468987266365,4.21364193585741,77,77,0.999152776619277,0.99736799603276,0.852367024342082,0.878513612520482,0.868952063193756,0.0261465881784002,6,0.848040037508005,0.538416976413586,2.22044604925031e-16,-6.66666666666662,0.998666708109124,1,1,feasible
4,21,0.5,0.5,1,1,70.5727003312404,13.8299537410207,2.14642157322728,15.8650681089604,14.1145400662481,3.34468987266365,5.52234109222757,77,77,0.999152776619277,0.99830701588161,0.658248952285197,0.878513612520482,2.17765121956392,0.220264660235285,7,0.625020723319703,0.594630812942017,2.22044604925031e-16,-6.66666666666662,0.998666708109124,1,1,feasible
4,22,0.5,0.75,1,1,70.5727003312404,13.8299537410207,2.26512947139505,15.9845900324756,14.1145400662481,3.34468987266365,6.34958821537424,77,77,0.999152776619277,0.998937320755774,0.499750423315783,0.878513612520482,3.00489834271059,0.378763189204699,7,0.452622534994047,0.594630812942017,2.22044604925031e-16,-6.66666666666662,0.998666708109124,1,1,feasible
4,23,0.5,1,1,1,70.5727003312404,13.8299537410207,2.38383736956282,16.1236751977758,14.1145400662481,3.34468987266365,6.71272327114758,77,77,0.999152776619277,0.999299524666255,0.383658133683357,0.878513612520482,3.36803339848393,0.494855478837125,7,0.329675964783092,0.594630812942017,2.22044604925031e-16,-6.66666666666662,0.998666708109124,1,1,feasible
4,24,0.5,1.25,1,1,70.5727003312404,15.7770651093687,2.51803040658132,16.2834665239762,15.8687403336261,3.34468987266365,6.8642997497035,77,77,0.999152776619277,0.999511818912685,0.301766509690785,0.878513612520482,3.51960987703985,0.576747102829698,7,0.24511970840788,0.594630812942017,2.22044604925031e-16,-6.66666666666662,0.998666708109124,1,1,feasible
4,25,0.75,0.1,1,1,70.5727003312404,13.8299537410207,2.40521324408863,15.9359006049217,14.1145400662481,3.34468987266365,3.45442862667722,77,77,0.999152776619277,0.998533134239007,0.980808533164219,0.878513612520482,0.109738754013564,-0.102294920643736,6,0.981315515410718,0.538416976413586,2.22044604925031e-16,-6.66666666666662,0.998666708109124,1,1,feasible
4,26,0.75,0.25,1,1,70.5727003312404,13.8299537410207,2.36314277559768,15.988419910858,14.1145400662481,3.34468987266365,3.74669699784414,77,77,0.999152776619277,0.998645949681585,0.918918714347188,0.878513612520482,0.402007125180488,-0.0404051018267061,6,0.918987255827864,0.538416976413586,2.22044604925031e-16,-6.66666666666662,0.998666708109124,1,1,feasible
4,27,0.75,0.5,1,1,70.5727003312404,13.8299537410207,2.29302532811279,16.0908976149688,14.1145400662481,3.34468987266365,4.59685371568036,77,77,0.999152776619277,0.998942138979809,0.786149894655416,0.878513612520482,1.25216384301671,0.0923637178650666,7,0.765479766728116,0.594630812942017,2.22044604925031e-16,-6.66666666666662,0.998666708109124,1,1,feasible
4,28,0.75,0.75,1,1,70.5727003312404,13.8299537410207,2.2704844839018,16.211744594639,14.1145400662481,3.34468987266365,5.48358855295724,77,77,0.999152776619277,0.999225417782147,0.657881599038639,0.878513612520482,2.13889868029359,0.220632013481843,7,0.62368004511656,0.594630812942017,2.22044604925031e-16,-6.66666666666662,0.998666708109124,1,1,feasible
4,29,0.75,1,0,1,70.5727003312404,15.0656276844464,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.91688576802713,0.998816622846395,0,0,physical endpoint screen
4,30,0.75,1.25,0,0,70.5727003312404,16.7506389635425,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.91688576802713,0.998816622846395,0,0,physical endpoint screen
4,31,1,0.1,1,1,70.5727003312404,13.8299537410207,2.55773174722165,16.1997232276528,14.1145400662481,3.34468987266365,3.39686860227074,77,77,0.999152776619277,0.999147601027006,0.988311261819108,0.878513612520482,0.0521787296070912,-0.109797649298626,6,0.988157480537593,0.538416976413586,2.22044604925031e-16,-6.66666666666662,0.998666708109124,1,1,feasible
4,32,1,0.25,0,1,70.5727003312404,13.8618125735762,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.91688576802713,0.998816622846395,0,0,physical endpoint screen
4,33,1,0.5,0,1,70.5727003312404,15.0955152467861,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.91688576802713,0.998816622846395,0,0,physical endpoint screen
4,34,1,0.75,0,1,70.5727003312404,16.5311358537697,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.91688576802713,0.998816622846395,0,0,physical endpoint screen
