network,policy,stateError,PR,observed,expected,K,corticalMax,sustainedMax,feedbackMax,cbMax,totalMax,belowNull
4,1,1.8177943510501e-14,3.30701032428276,1,0.48674334343714,5,160.862752417521,163.445261838117,9.3783132694505,170.278145688242,143.749529014263,-0.51325665656286
4,2,3.23666732385114,6.99342853445853,0.0565417178334177,0.599871584975338,7,111.088469257346,163.445261838117,10.5836194624285,174.010193328862,113.036387876583,0.543329867141921
4,3,1.94765155913442e-14,3.30701032428276,1,0.48674334343714,5,160.862752417528,163.445261838117,9.3783132694505,170.278145688242,134.396053254523,-0.51325665656286
4,4,3.46114283047422,6.99923378562582,0.020635471813178,0.599871584975338,7,111.088469257346,163.445261838117,11.3168346685832,174.739322294305,111.088469257346,0.57923611316216
5,1,1.77909214437223e-14,3.92867988636502,1,0.47232855472189,5,164.067158224343,164.850588979581,10.6599741672458,171.853212499593,164.422269108689,-0.52767144527811
5,2,3.16506150776699,6.99575189939293,0.0480829994247019,0.578727262144898,7,114.688925296976,164.850588979581,10.7268112222634,175.548204674445,116.480476334649,0.530644262720196
5,3,1.89085861801338e-14,3.92867988636502,1,0.47232855472189,5,164.067158224343,164.850588979581,10.6599741672458,171.853212499593,153.791465685143,-0.52767144527811
5,4,3.38469103720843,6.99946358557102,0.0174243334514525,0.578727262144898,7,114.688925296976,164.850588979581,11.474941172855,176.290219396818,114.688925296976,0.561302928693446
6,1,1.80568275244228e-14,3.81324198718586,1,0.54450455420854,6,158.751564268656,161.189397631678,10.0063007917654,168.737259080315,153.829133407135,-0.45549544579146
6,2,3.24093828067098,6.9957342566328,0.0495140247183063,0.590265257785427,7,113.854979992301,161.189397631678,10.3360778481514,171.462139680793,115.555442006524,0.540751233067121
6,3,1.9168964685e-14,3.81324198718586,1,0.54450455420854,6,158.751564268656,161.189397631678,10.0063007917654,168.737259080315,143.850989401251,-0.45549544579146
6,4,3.46530955883879,6.9994265778895,0.0179365760209103,0.590265257785427,7,113.854979992301,161.189397631678,11.0493725615373,172.16285541918,113.854979992301,0.572328681764517
7,1,1.78869220084238e-14,3.43103117576405,1,0.47426949900634,5,163.472804231065,164.633108909035,9.71926022343887,172.201156249635,149.722004827908,-0.525730500993661
7,2,3.220313899046,6.99460268316369,0.0543306700801342,0.579206562625205,7,114.79527703366,164.633108909035,10.655755186084,175.261441035665,116.983646801132,0.52487589254507
7,3,1.91665760329463e-14,3.43103117576405,1,0.47426949900634,5,163.472804231065,164.633108909035,9.71926022343887,172.201156249635,140.03354519881,-0.525730500993659
7,4,3.44298313317549,6.99928627797426,0.0198652741537926,0.579206562625205,7,114.79527703366,164.633108909035,11.394847559983,175.994916192779,114.79527703366,0.559341288471412
8,1,1.81314399793994e-14,3.52511497499008,1,0.538977229432891,6,155.347709343006,156.03825546625,8.88603814626803,162.458090699751,136.642556130067,-0.46102277056711
8,2,3.27301966960636,6.99467517358471,0.0533633440201701,0.584039716202758,7,111.800260636677,156.03825546625,10.1659574993825,166.146769464502,113.345926083935,0.530676372182588
8,3,1.95192038579007e-14,3.52511497499008,1,0.538977229432891,6,155.347709343006,156.03825546625,8.88603814626803,162.458090699751,127.808568947807,-0.461022770567111
8,4,3.50091607368272,6.99932363600543,0.0193772237008429,0.584039716202758,7,111.800260636677,156.03825546625,10.8771710270629,166.846005946849,111.800260636677,0.564662492501915
9,1,1.81968021313974e-14,3.23715368002929,0.999999999999999,0.550978181363597,6,160.680246495382,161.684319487744,9.44871029249971,168.597335926084,146.014631943581,-0.449021818636403
9,2,3.22474778864241,6.99361895501545,0.0574330439431151,0.594234790236303,7,114.829536747898,161.684319487744,10.4596049851763,172.124590254079,116.674456849897,0.536801746293188
9,3,1.93885148264763e-14,3.23715368002929,1,0.550978181363597,6,160.680246495382,161.684319487744,9.44871029249971,168.597335926084,136.598806157495,-0.449021818636403
9,4,3.44719612298106,6.99920244806724,0.0210451189551721,0.594234790236303,7,114.829536747898,161.684319487744,11.1837967463384,172.84459993682,114.829536747898,0.573189671281131
10,1,1.7982855365068e-14,3.35351154823501,1,0.518721523051799,5,166.981427917658,167.820601447392,10.4885264583051,175.681593975541,161.625488624623,-0.481278476948201
10,2,3.25112653540703,6.99402056294984,0.055538415851342,0.629441889582223,7,116.946758335587,167.820601447392,10.7575057131463,178.555803288306,119.81283374012,0.573903473730881
10,3,1.90409349520193e-14,3.35351154823501,1,0.518721523051799,5,166.981427917658,167.820601447392,10.4885264583051,175.681593975541,151.175291384396,-0.481278476948202
10,4,3.47513575479841,6.99925392233643,0.0203595205275917,0.629441889582223,7,116.946758335587,167.820601447392,11.4952722848714,179.288845406992,116.946758335587,0.609082369054631
