network,eta,s_init,s_temporal,condition,target,goBias,cueEqDistance,relativeBias,dispersion,C,endpointRmsM
1,0,0.20000000000000001,0.10000000000000001,1,2,2.9635201670968487,3.3087811527586815,0.89565312127882113,3.3993779659479157,-0.61475257930339799,0.032716871026969047
1,0,0.20000000000000001,0.10000000000000001,1,3,2.6583430098878624,2.893104498361994,0.91885481889539489,3.4536891265044067,-0.5795185880115129,0.033778105889031754
1,0,0.20000000000000001,0.10000000000000001,1,4,1.7339549241050625,2.5800502288694793,0.67206246789421731,3.3824058603750671,-0.61953730174271626,0.031965794554777653
1,0,0.20000000000000001,0.10000000000000001,1,5,2.6791085865459161,2.9644941300934193,0.90373212729602881,3.3836910415331047,-0.62755386381427947,0.033469520433004524
1,0,0.20000000000000001,0.10000000000000001,1,6,2.5200880709137921,3.0488023291168589,0.82658296566041445,3.352238640986958,-0.56844918660846755,0.027009532101287363
1,0,0.20000000000000001,0.10000000000000001,1,7,2.3035423161702369,3.1180875719380063,0.73876767827226242,3.4000101897112258,-0.58906060876680177,0.027758247636181461
1,0,0.20000000000000001,0.10000000000000001,1,8,2.2125134684437167,2.7312766328308218,0.81006568205087492,3.344352935402422,-0.58012764207310641,0.024657645179863966
1,0,0.20000000000000001,0.10000000000000001,2,1,2.4647180128357915,2.7576811301821782,0.89376468724394076,3.7454276148571872,-0.70780752161769855,0.068629038316009916
1,0,0.20000000000000001,0.10000000000000001,2,2,2.3332003981217126,2.826553641198267,0.82545767542292026,3.7508251465540909,-0.68944854850435922,0.076375115045996381
1,0,0.20000000000000001,0.10000000000000001,2,3,1.9568585648930898,2.7367516342965348,0.71502965061573387,3.8700572687758346,-0.72566396679170264,0.085894049883589133
1,0,0.20000000000000001,0.10000000000000001,2,4,2.6856247152000781,2.6967128171185766,0.99588828968063936,3.9064592187176284,-0.78991239565961691,0.07640906743312445
1,0,0.20000000000000001,0.10000000000000001,2,5,2.6746938069332535,2.9456575795440041,0.90801246740542851,3.971661557980811,-0.86627405357367948,0.095120345209063054
1,0,0.20000000000000001,0.10000000000000001,2,6,2.6725761383106468,2.9329055237825692,0.91123840050047866,3.8011480390301657,-0.68114089341879591,0.076706500799528954
