network,eta,s_init,s_temporal,condition,target,trial,fold,referenceK95,capture,captureBefore,d_cue,d_prego,distanceRatio,C,undefinedC,moMs,peakMs,peakSpeed,nearZero,missingWindow,boundaryPeak,largePeakCount
8,1,0.10000000000000001,0.050000000000000003,2,3,18,3,62,0.95044987899183586,0.94900536766758337,2.5112538536219069,1.5453227180087041,0.61535902305532797,0.38464097694467203,0,51,214,0.16455763727862838,0,0,0,2
8,1,0.10000000000000001,0.050000000000000003,2,3,19,2,62,0.9512659322115149,0.94981623024021522,2.0573686801027256,1.9982942596915834,0.97128641989038511,0.028713580109614889,0,51,205,0.19031779585871242,0,0,0,2
8,1,0.10000000000000001,0.050000000000000003,2,3,20,1,62,0.95008502690623231,0.94859208515238724,2.0889375788218918,1.8169909828880866,0.86981583428300613,0.13018416571699387,0,57,489,0.21015264713040188,0,0,0,2
8,1,0.10000000000000001,0.050000000000000003,2,3,21,3,62,0.95044987899183586,0.94900536766758337,2.4741767562590677,1.7581334760722052,0.71059332023249888,0.28940667976750112,0,57,223,0.18614139352212716,0,0,0,2
8,1,0.10000000000000001,0.050000000000000003,2,3,22,2,62,0.9512659322115149,0.94981623024021522,2.5262863539071061,1.7328256656087637,0.68591815133261069,0.31408184866738931,0,51,211,0.18692924000397965,0,0,0,2
8,1,0.10000000000000001,0.050000000000000003,2,3,23,3,62,0.95044987899183586,0.94900536766758337,2.6507316997820261,1.6506925570041142,0.62273090752257321,0.37726909247742679,0,49,198,0.1483817807973051,0,0,0,2
8,1,0.10000000000000001,0.050000000000000003,2,3,24,2,62,0.9512659322115149,0.94981623024021522,2.2822963388882642,1.6020174076421969,0.70193225145449789,0.29806774854550211,0,51,212,0.17861185997904283,0,0,0,2
8,1,0.10000000000000001,0.050000000000000003,2,3,25,2,62,0.9512659322115149,0.94981623024021522,2.3893292090448948,1.7684393503039428,0.74014051458855057,0.25985948541144943,0,51,449,0.16784183944362543,0,0,0,2
8,1,0.10000000000000001,0.050000000000000003,2,3,26,1,62,0.95008502690623231,0.94859208515238724,2.4542668335328339,1.7184119041281281,0.70017321696619772,0.29982678303380228,0,51,216,0.17321273931245848,0,0,0,2
8,1,0.10000000000000001,0.050000000000000003,2,3,27,2,62,0.9512659322115149,0.94981623024021522,2.7957698419680161,1.6730164724224317,0.59840994323221941,0.40159005676778059,0,53,211,0.17611845091212813,0,0,0,2
8,1,0.10000000000000001,0.050000000000000003,2,3,28,1,62,0.95008502690623231,0.94859208515238724,2.2189286443457807,1.8903598409613487,0.85192457440139724,0.14807542559860276,0,56,217,0.15815901745705671,0,0,0,2
8,1,0.10000000000000001,0.050000000000000003,2,3,29,3,62,0.95044987899183586,0.94900536766758337,2.0974890041698782,1.5888329005206467,0.75749283899080944,0.24250716100919056,0,48,202,0.14697918452650144,0,0,0,2
8,1,0.10000000000000001,0.050000000000000003,2,3,30,3,62,0.95044987899183586,0.94900536766758337,2.6429048054323045,2.0143047206274889,0.76215560866484011,0.23784439133515989,0,58,228,0.17851582108766453,0,0,0,2
8,1,0.10000000000000001,0.050000000000000003,2,4,1,3,63,0.95046288808080615,0.94897804053641688,2.4771774350074613,1.7161559867322287,0.69278686398459766,0.30721313601540234,0,46,468,0.14412910584638769,0,0,0,2
8,1,0.10000000000000001,0.050000000000000003,2,4,2,2,63,0.95066983720612952,0.94916809013377956,2.6565852743082163,1.6445386120028962,0.61904228255241667,0.38095771744758333,0,42,420,0.12773729341752413,0,0,0,2
8,1,0.10000000000000001,0.050000000000000003,2,4,3,1,63,0.95007120561248348,0.94856281243465079,2.4713894413606732,1.8849964580090892,0.76272740607456291,0.23727259392543709,0,38,402,0.13553830252844262,0,0,0,2
8,1,0.10000000000000001,0.050000000000000003,2,4,4,1,63,0.95007120561248348,0.94856281243465079,2.9887271722253494,1.8860426614292478,0.63105213448604491,0.36894786551395509,0,37,463,0.15241688811297752,0,0,0,2
8,1,0.10000000000000001,0.050000000000000003,2,4,5,1,63,0.95007120561248348,0.94856281243465079,2.4226899927142491,1.7797335012749889,0.73461049768116349,0.26538950231883651,0,42,470,0.15846553309892603,0,0,0,2
8,1,0.10000000000000001,0.050000000000000003,2,4,6,3,63,0.95046288808080615,0.94897804053641688,2.0778299811645011,1.9883204925717683,0.95692164931484525,0.043078350685154754,0,45,179,0.16862684140035109,0,0,0,2
8,1,0.10000000000000001,0.050000000000000003,2,4,7,2,63,0.95066983720612952,0.94916809013377956,2.5212105910364251,1.5183853325098673,0.60224454788034421,0.39775545211965579,0,46,423,0.15128811846486512,0,0,0,2
8,1,0.10000000000000001,0.050000000000000003,2,4,8,1,63,0.95007120561248348,0.94856281243465079,2.3949928814428354,1.9311313032760966,0.80632026852318206,0.19367973147681794,0,44,169,0.12126331514372611,0,0,0,2
8,1,0.10000000000000001,0.050000000000000003,2,4,9,2,63,0.95066983720612952,0.94916809013377956,2.4576665261202715,1.9660513112418321,0.79996667177848801,0.20003332822151199,0,45,431,0.13715002563128115,0,0,0,2
8,1,0.10000000000000001,0.050000000000000003,2,4,10,2,63,0.95066983720612952,0.94916809013377956,2.2441091316623014,1.8130165860649172,0.80790036477501581,0.19209963522498419,0,48,184,0.14161828968722459,0,0,0,2
8,1,0.10000000000000001,0.050000000000000003,2,4,11,1,63,0.95007120561248348,0.94856281243465079,2.5379937354534583,1.7196794065575196,0.67757433067511808,0.32242566932488192,0,44,173,0.13379204706731068,0,0,0,2
