network,eta,s_init,s_temporal,deltaC,deltaR2,lossPct,lossDefined,Control95K,observed,expected,deficit
5,0,0.20000000000000001,0.10000000000000001,-0.11165260545954825,-0.12492694239060165,13.658709290755707,1,7,0.28411901727700944,0.44661091523281005,0.1624918979558006
5,0,0.10000000000000001,0.050000000000000003,-0.12232558853010256,-0.013810028102905103,1.389731922954105,1,6,0.27316792228338882,0.41134308846135942,0.1381751661779706
5,0,0.10000000000000001,0.20000000000000001,-0.20662647595036976,-0.13281444560687494,17.992475240433457,1,7,0.30253847153049707,0.42632381066365443,0.12378533913315737
5,1,0.050000000000000003,0.10000000000000001,-0.057606646686294671,-0.016851686447792336,1.698923045115466,1,6,0.29373314638834819,0.52167959417850041,0.22794644779015222
5,1,0.10000000000000001,0.10000000000000001,-0.036453867492146616,-0.016902694235282234,1.7040974517770713,1,6,0.29362601535986099,0.52170007661337336,0.22807406125351237
5,1,0.20000000000000001,0.10000000000000001,-0.021203339770215934,-0.017073913475563085,1.7214623250729288,1,6,0.2934320689521816,0.52172149824051817,0.22828942928833657
5,1,0.10000000000000001,0.050000000000000003,-0.021325612240687852,-0.039114227844499028,3.9316539576617888,1,5,0.29968202350446893,0.46911193800110051,0.16942991449663158
5,1,0.10000000000000001,0.20000000000000001,-0.053204312808649457,-0.14082866748360545,16.201944826002787,1,6,0.29987134617235178,0.51376568122971711,0.21389433505736533
6,0,0.050000000000000003,0.10000000000000001,-0.27389784109427318,-0.11875434068675816,12.771157706422297,1,6,0.38182721723161162,0.4709467533066477,0.089119536075036088
6,0,0.10000000000000001,0.10000000000000001,-0.19288341987946311,-0.10872824465136488,11.7991733231704,1,6,0.38223154404620546,0.4704961354361108,0.088264591389905334
6,0,0.20000000000000001,0.10000000000000001,-0.12830619941777049,-0.11347790600694074,12.525795522880941,1,6,0.38314740059192776,0.4686905741825359,0.085543173590608146
6,0,0.10000000000000001,0.050000000000000003,-0.16167102000690126,-0.05192784793775862,5.2564128495045885,1,6,0.38116444487319839,0.4751422441079402,0.09397779923474181
6,0,0.10000000000000001,0.20000000000000001,-0.19186804628601739,-0.13888754824934102,18.867846221070501,1,7,0.37686884667093884,0.48893308421445247,0.11206423754351363
6,1,0.050000000000000003,0.10000000000000001,-0.046606380695257188,-0.053234019653790488,5.3474548998432772,1,6,0.3035655132397021,0.54232172975539583,0.23875621651569373
6,1,0.10000000000000001,0.10000000000000001,-0.030661833446275551,-0.053315222356719816,5.355625936124059,1,6,0.30357188803604579,0.54230973232346991,0.23873784428742412
6,1,0.20000000000000001,0.10000000000000001,-0.017008769124352341,-0.053613977963302029,5.3857120785398092,1,6,0.30358666531742468,0.54227898037895483,0.23869231506153016
6,1,0.10000000000000001,0.050000000000000003,-0.017666602863533665,-0.026645954522587778,2.6697275444732838,1,6,0.30305650886548274,0.54418631436874809,0.24112980550326535
6,1,0.10000000000000001,0.20000000000000001,-0.042135477749343342,-0.16759318321101213,19.119073033631679,1,6,0.30741998098245393,0.53484135875375272,0.22742137777129878
7,0,0.050000000000000003,0.10000000000000001,-0.25975578492068996,-0.099852435442319476,10.792925410761189,1,6,0.32875268018424775,0.42665762526480655,0.097904945080558803
7,0,0.10000000000000001,0.10000000000000001,-0.18968689465369382,-0.10277018288590478,11.152582650468608,1,6,0.32945194868115085,0.42572656399959724,0.096274615318446388
7,0,0.20000000000000001,0.10000000000000001,-0.13515558314532605,-0.10273285773470198,11.281366877808887,1,6,0.33105643103093446,0.42248665514083567,0.091430224109901204
7,0,0.10000000000000001,0.050000000000000003,-0.15243483977992023,-0.036900995167356343,3.7387265464693953,1,6,0.32972194442589287,0.43013583610677558,0.10041389168088272
7,0,0.10000000000000001,0.20000000000000001,-0.19854055723084896,-0.10462204054396751,14.221398734347538,1,6,0.34135691711894733,0.40852713426059195,0.067170217141644617
