network,eta,s_init,s_temporal,condition,rep,r2,lambdaIndex1,lambdaIndex2,lambdaIndex3,fullLambdaIndex
1,0,0.050000000000000003,0.10000000000000001,2,43,-0.014192025457981039,25,25,23,25
1,0,0.050000000000000003,0.10000000000000001,2,44,-0.010076727281717046,22,25,22,25
1,0,0.050000000000000003,0.10000000000000001,2,45,-0.0094807171283077807,22,24,25,24
1,0,0.050000000000000003,0.10000000000000001,2,46,-0.0057932700160154837,23,22,23,22
1,0,0.050000000000000003,0.10000000000000001,2,47,-0.013797528666224856,25,25,25,25
1,0,0.050000000000000003,0.10000000000000001,2,48,-0.0074320837024428599,25,21,21,22
1,0,0.050000000000000003,0.10000000000000001,2,49,-0.0096750447877147483,25,25,24,25
1,0,0.050000000000000003,0.10000000000000001,2,50,-0.014626425273851495,22,25,22,23
1,0,0.050000000000000003,0.10000000000000001,2,51,-0.015970391450422561,22,21,20,21
1,0,0.050000000000000003,0.10000000000000001,2,52,-0.017241773910731339,25,25,21,22
1,0,0.050000000000000003,0.10000000000000001,2,53,-0.018799282166889197,25,25,22,25
1,0,0.050000000000000003,0.10000000000000001,2,54,-0.010695356961677893,25,22,22,23
1,0,0.050000000000000003,0.10000000000000001,2,55,-0.0090775548412156404,25,22,23,24
1,0,0.050000000000000003,0.10000000000000001,2,56,-0.012958895766585821,22,22,25,23
1,0,0.050000000000000003,0.10000000000000001,2,57,-0.011555834694091827,25,22,25,25
1,0,0.050000000000000003,0.10000000000000001,2,58,-0.0069565539977602953,22,25,22,25
1,0,0.050000000000000003,0.10000000000000001,2,59,-0.0062847890400816731,21,22,21,21
1,0,0.050000000000000003,0.10000000000000001,2,60,-0.010430271766416865,21,22,25,22
1,0,0.050000000000000003,0.10000000000000001,2,61,-0.012705905156641384,25,25,25,25
1,0,0.050000000000000003,0.10000000000000001,2,62,-0.0069338603846769153,22,23,22,22
1,0,0.050000000000000003,0.10000000000000001,2,63,-0.0093564746466423543,25,24,25,25
1,0,0.050000000000000003,0.10000000000000001,2,64,-0.011165467450745981,25,25,25,25
1,0,0.050000000000000003,0.10000000000000001,2,65,-0.012207369423200554,25,25,25,25
1,0,0.050000000000000003,0.10000000000000001,2,66,-0.019604065024368289,25,25,21,25
