network,eta,s_init,s_temporal,condition,convergence,pr,r2,bias,dispersion,mo,peakTime,peakSpeed,endpoint,separation,shuffle,matched,Control95K,observed,expected,deficit,undefinedC,evaluable,predictionEvaluable,finite,prepBounds,prepRateMax,prepStateMax,prepInputMax,rateLimit,stateLimit,inputLimit,movementRateMax,movementStateMax,nearZero,missingWindow,boundaryPeak,multiPeak,prepPC75,movePC75,mean_d_cue,mean_d_prego,mean_ratio
2,1,0.10000000000000001,0.10000000000000001,1,-0.10776226479262487,3.9038217276659068,0.99398383392213641,0.096453396315390322,1.3491161445452016,55,200.5,0.41734296292686407,18.501454872858847,7.8709192650203423,-0.0088404163568069904,0.99398383392213641,6,0.30067585176843842,0.52648276588375886,0.22580691411532045,0,1,1,1,1,2.4190987281838257,15.604386254327819,20.807894945872167,7.3534863892751323,43.957306167355171,66.723673577912479,2.6549940664118221,22.684581826447999,0,0,0,0,5,2,3.25224257410617,3.57145324852068,1.1077622647926251
2,1,0.10000000000000001,0.10000000000000001,2,-0.14816869589616447,6.800187121060409,0.88938280221295507,0.10179402875289024,1.4091855988593032,51,213,0.23856108187283834,27.401417177741745,2.9211079032956659,-0.010019487850792541,0.96533987514960895,6,0.30067585176843842,0.52648276588375886,0.22580691411532045,0,1,1,1,1,2.3564695623375984,15.852326808527906,20.538440332897906,7.3534863892751323,43.957306167355171,66.723673577912479,2.7220828830128774,22.454274665588986,0,0,6,81,6,6,3.281545020321341,3.7346919284091524,1.1481686958961645
2,1,0.20000000000000001,0.10000000000000001,1,0.35050658976420707,3.9058195248736496,0.99393945145784857,0.095070440409430607,1.3521954986506239,55,200.5,0.41737147938313635,18.501543294843476,7.8713022829202819,-0.008860954160389678,0.99393945145784857,6,0.30056747283083429,0.52645569180025942,0.22588821896942513,0,1,1,1,1,2.424371521438712,16.104962258005813,21.032614810531072,7.3534863892751323,43.957306167355171,66.723673577912479,2.6511825799671049,22.698938209838463,0,0,0,0,5,2,5.4403721151076549,3.5021005562018344,0.6494934102357931
2,1,0.20000000000000001,0.10000000000000001,2,0.3272625434445518,6.8003536478752808,0.89021482942881791,0.1006866207116474,1.41333598743531,51,213,0.23884442434334174,27.521778285734189,2.9057088217561082,-0.0099568445000489669,0.9659947304942077,6,0.30056747283083429,0.52645569180025942,0.22588821896942513,0,1,1,1,1,2.3981391363844025,16.426834272848236,20.724973654261497,7.3534863892751323,43.957306167355171,66.723673577912479,2.7211740708209504,22.451479668594281,0,0,5,78,6,6,5.5049695175837705,3.6700664724322221,0.67273745655544803
2,1,0.10000000000000001,0.050000000000000003,1,0.34005665956914477,3.8645622358117224,0.99051328981655451,0.062280619019763048,0.6762324051310733,55,200,0.41686926065007202,9.2523326526155731,15.566821737186133,-0.0096047961039285035,0.99051328981655451,6,0.30056526558932867,0.52888446600968853,0.22831920042035986,0,1,1,1,1,2.2974394128327167,15.306472814313961,20.58579040149672,7.3534863892751323,43.957306167355171,66.723673577912479,2.5511080618599746,22.251649865270668,0,0,0,0,3,2,2.474248330295048,1.6138781116902094,0.65994334043085534
2,1,0.10000000000000001,0.050000000000000003,2,0.31340130401564531,6.7787726402208648,0.89592455129901738,0.066797005344581231,0.70668050751458134,50.5,214,0.22868980436292183,13.770299593398601,5.8839824773035705,-0.0098448989259685149,0.9575998342838008,6,0.30056526558932867,0.52888446600968853,0.22831920042035986,0,1,1,1,1,2.2329442625847049,15.793203194290635,20.440484325732065,7.3534863892751323,43.957306167355171,66.723673577912479,2.6291726406342613,22.082398200684505,0,0,2,77,6,5,2.4913366695258152,1.6899683160139425,0.68659869598435452
2,1,0.10000000000000001,0.20000000000000001,1,-0.5476400394651294,4.0363627998984573,0.8781806112850602,0.17744051919540169,2.6951271018316332,55,201,0.42189378326862848,36.980611752130422,4.0449939549269596,-0.0095811033204982188,0.87567456329169646,6,0.3031770343230305,0.51823224199071161,0.2150552076676811,0,1,1,1,1,2.7495250175885246,16.645872834510971,21.509529416886462,7.3534863892751323,43.957306167355171,66.723673577912479,2.8677816218773562,23.61490599353818,0,0,0,4,23,10,4.8312266876583037,7.4179689628687093,1.5476400394651291
2,1,0.10000000000000001,0.20000000000000001,2,-0.6062226067207106,6.8756553898752895,0.71036923351264214,0.18297708900048271,2.815355182719073,50,220,0.26501440252067354,54.593991380413726,1.3241449511397478,-0.010302889175709318,0.80626193234933996,6,0.3031770343230305,0.51823224199071161,0.2150552076676811,0,1,1,1,1,2.6449276041949172,16.940972506585773,21.262451685849861,7.3534863892751323,43.957306167355171,66.723673577912479,2.9144884120965502,23.279512748877135,0,0,13,77,21,18,4.8754885191399655,7.7677711197799901,1.6062226067207106
3,0,0.050000000000000003,0.10000000000000001,1,-2.3868474286450185,3.6303928529548002,0.92277696250372598,0.78696174417809561,2.997273487110661,56,200,0.4193365856936847,24.660301059485739,5.9710170936224971,-0.010554704522388936,0.9164986835045037,6,0.32470120060901614,0.41503444964096292,0.090333249031946783,0,1,1,1,1,3.0281076805970191,18.687742980706371,12.501618889163284,8.4560681986865731,44.974674317035628,70.518205183302754,3.2756284029968534,24.034840058904479,0,0,0,0,15,8,2.3493432455506991,7.8514423771182758,3.3868474286450185
3,0,0.050000000000000003,0.10000000000000001,2,-2.7134833635924642,6.7266589022164922,0.75112605900378804,0.91825121722241421,3.3322688884915284,58,327.5,0.29249009360927469,55.178633266444749,1.4815632489403721,-0.0109266002860815,0.84481859274302895,6,0.32470120060901614,0.41503444964096292,0.090333249031946783,0,1,1,1,1,3.111764699803607,18.322904807875986,12.501618889163284,8.4560681986865731,44.974674317035628,70.518205183302754,3.265129443657766,23.901250616300334,0,0,30,79,14,15,2.3636656685144692,8.6694541457770882,3.7134833635924642
3,0,0.10000000000000001,0.10000000000000001,1,-1.4394196790361875,3.6499845155618127,0.90863235868734427,0.78538716468701475,3.0951081655174955,56,200,0.41944992381687007,24.727754109329382,5.9496612882995379,-0.011072089452647371,0.90827276842584848,6,0.32313454209587789,0.4147140162591858,0.091579474163307917,0,1,1,1,1,3.153510082729639,18.723384294890202,12.520215381563625,8.4560681986865731,44.974674317035628,70.518205183302754,3.2386021304261612,24.142871996030777,0,0,0,0,16,9,3.4636436965288189,8.3393675009542907,2.4394196790361886
3,0,0.10000000000000001,0.10000000000000001,2,-1.6762252086700675,6.7455544531639342,0.74539279607061859,0.91710304182717328,3.4574315060344896,57,327,0.291264502048313,56.618918310200556,1.4474888791292724,-0.011094513271502238,0.83157388488540496,6,0.32313454209587789,0.4147140162591858,0.091579474163307917,0,1,1,1,1,3.1863466209267219,18.367757354139723,12.501618889163284,8.4560681986865731,44.974674317035628,70.518205183302754,3.286477277616207,24.110068549756633,0,0,30,79,15,16,3.5097403039575159,9.2847032685422501,2.6762252086700675
