eta,s_init,s_temporal,condition,metric,median,bootstrapSE,availableN
1,0.050000000000000003,0.10000000000000001,1,shuffle,-0.011572558706694269,0.00071388067101499798,10
0,0.10000000000000001,0.10000000000000001,1,shuffle,-0.011017252373057118,0.00036324254682192238,10
1,0.10000000000000001,0.10000000000000001,1,shuffle,-0.011574132919620728,0.00069004658542455338,10
0,0.20000000000000001,0.10000000000000001,1,shuffle,-0.010974418544145159,0.0003183569976249945,10
1,0.20000000000000001,0.10000000000000001,1,shuffle,-0.011581286575885863,0.00070518238024202639,10
0,0.10000000000000001,0.050000000000000003,1,shuffle,-0.01154593425766498,0.00044795238449172546,10
1,0.10000000000000001,0.050000000000000003,1,shuffle,-0.011211364450837313,0.00060115006938473456,10
0,0.10000000000000001,0.20000000000000001,1,shuffle,-0.010492123506189499,0.00015701365129780731,10
1,0.10000000000000001,0.20000000000000001,1,shuffle,-0.010774971688347013,0.00036943558997059282,10
0,0.050000000000000003,0.10000000000000001,2,shuffle,-0.010424543139309239,0.00021163815323584829,10
1,0.050000000000000003,0.10000000000000001,2,shuffle,-0.010261302802466288,0.00041230874149970095,10
0,0.10000000000000001,0.10000000000000001,2,shuffle,-0.010393459144339201,0.0001957230519227528,10
1,0.10000000000000001,0.10000000000000001,2,shuffle,-0.010246821635464753,0.00041588491202482707,10
0,0.20000000000000001,0.10000000000000001,2,shuffle,-0.010377172529773271,0.00024735049260347935,10
1,0.20000000000000001,0.10000000000000001,2,shuffle,-0.010216537231389267,0.00044044183526956355,10
0,0.10000000000000001,0.050000000000000003,2,shuffle,-0.010616733978095649,0.00036206953800447047,10
1,0.10000000000000001,0.050000000000000003,2,shuffle,-0.010386705540449181,0.00042770386788669267,10
0,0.10000000000000001,0.20000000000000001,2,shuffle,-0.010488758193012482,8.1956799619570481e-05,10
1,0.10000000000000001,0.20000000000000001,2,shuffle,-0.01055930844809988,0.00021555785276422429,10
0,0.050000000000000003,0.10000000000000001,1,matched,0.92935605026185486,0.0051978793582947783,10
1,0.050000000000000003,0.10000000000000001,1,matched,0.99470587481379824,0.00062325151885470379,10
0,0.10000000000000001,0.10000000000000001,1,matched,0.92255667292656651,0.0068315673299866129,10
1,0.10000000000000001,0.10000000000000001,1,matched,0.99468040688101,0.00062830568170149203,10
0,0.20000000000000001,0.10000000000000001,1,matched,0.90791044584264757,0.005760182713028905,10
1,0.20000000000000001,0.10000000000000001,1,matched,0.99461826703748057,0.00064163996973324699,10
0,0.10000000000000001,0.050000000000000003,1,matched,0.98935506568325238,0.0020029888019607984,10
1,0.10000000000000001,0.050000000000000003,1,matched,0.9963056533618101,0.00069458272556617757,10
0,0.10000000000000001,0.20000000000000001,1,matched,0.73596133708081368,0.0038888931375109506,10
1,0.10000000000000001,0.20000000000000001,1,matched,0.87736637982437848,0.0049418956399564767,10
0,0.050000000000000003,0.10000000000000001,2,matched,0.89459862116620781,0.011107463438730847,10
1,0.050000000000000003,0.10000000000000001,2,matched,0.95796729789897994,0.0073017002433683233,10
0,0.10000000000000001,0.10000000000000001,2,matched,0.88789694192599544,0.008535764524846598,10
1,0.10000000000000001,0.10000000000000001,2,matched,0.95815538236791453,0.0079690215028985784,10
0,0.20000000000000001,0.10000000000000001,2,matched,0.85092683573627104,0.010077929280110079,10
1,0.20000000000000001,0.10000000000000001,2,matched,0.95839650801218912,0.0080245729580656639,10
0,0.10000000000000001,0.050000000000000003,2,matched,0.94124351073973878,0.0098223277645091873,10
1,0.10000000000000001,0.050000000000000003,2,matched,0.94483680724081187,0.0067740311199834327,10
0,0.10000000000000001,0.20000000000000001,2,matched,0.62819539864836615,0.010357558562797827,10
