Network,Target,Trial,InitialNorm,InitialActiveChangeFraction
1,7,82,1.44046261389661,0
1,7,83,1.51674209486549,0
1,7,84,1.35504220632319,0
1,7,85,1.45572900593072,0
1,7,86,1.34308659158417,0
1,7,87,1.34471650988389,0
1,7,88,1.42264676305619,0
1,7,89,1.34503980459672,0
1,7,90,1.48756320254518,0
1,7,91,1.40335231341852,0
1,7,92,1.51289747065638,0
1,7,93,1.38845154340758,0
1,7,94,1.36960075139364,0
1,7,95,1.45013230271854,0
1,7,96,1.49680684653443,0
1,7,97,1.44985454477814,0
1,7,98,1.31418073696587,0
1,7,99,1.41924841325421,0
1,7,100,1.47631269342314,0
1,8,1,1.28562115489224,0
1,8,2,1.400273315364,0
1,8,3,1.38189222952842,0
1,8,4,1.45495434511262,0
1,8,5,1.42335049531285,0
1,8,6,1.41948506465193,0
1,8,7,1.48087899248654,0
1,8,8,1.41190459054854,0
1,8,9,1.32786500977964,0
1,8,10,1.49535542643708,0
1,8,11,1.38280028969403,0
1,8,12,1.44014341700669,0
1,8,13,1.39349279837956,0
1,8,14,1.41680224007039,0
1,8,15,1.44779628288327,0
1,8,16,1.31838329468601,0
1,8,17,1.52390775189726,0
1,8,18,1.43520683215917,0
1,8,19,1.51076605858047,0
1,8,20,1.3943604591159,0
1,8,21,1.48442138720752,0
1,8,22,1.32445161211892,0
1,8,23,1.38239945376131,0
1,8,24,1.43120907814944,0
1,8,25,1.47354734775899,0
1,8,26,1.29391257092449,0
1,8,27,1.5269252119574,0
1,8,28,1.44224005693767,0
1,8,29,1.43280933990126,0
1,8,30,1.36038873180088,0
1,8,31,1.49455028617941,0
1,8,32,1.39000190589921,0
1,8,33,1.48690173577807,0
1,8,34,1.5211386482108,0
1,8,35,1.45062799452232,0
1,8,36,1.278409874597,0
1,8,37,1.45746521970777,0
1,8,38,1.40553609606348,0
1,8,39,1.36464028929187,0
1,8,40,1.29178800184671,0
1,8,41,1.47689172666251,0
1,8,42,1.36223733491309,0
1,8,43,1.49230437200876,0
1,8,44,1.34531712627084,0
1,8,45,1.31932679544374,0
1,8,46,1.45960213213864,0
1,8,47,1.34783012316364,0
1,8,48,1.43269520124393,0
1,8,49,1.29756579586171,0
1,8,50,1.4039183734545,0
1,8,51,1.426082791703,0
1,8,52,1.52985175813114,0
1,8,53,1.2691985540348,0
1,8,54,1.405675044405,0
1,8,55,1.34840191014118,0
1,8,56,1.38569640640533,0
1,8,57,1.44294760384339,0
1,8,58,1.40572413024265,0
1,8,59,1.36962167913366,0
1,8,60,1.3649315915035,0
1,8,61,1.35740871322403,0
1,8,62,1.26013787231967,0
1,8,63,1.2795025996301,0
1,8,64,1.4728272546348,0
1,8,65,1.55006401715369,0
1,8,66,1.35492431531037,0
1,8,67,1.39478441193153,0
1,8,68,1.39665386946204,0
1,8,69,1.35213048016407,0
1,8,70,1.45999423856208,0
1,8,71,1.44574393312443,0
1,8,72,1.433936890582,0
1,8,73,1.3860056641585,0
1,8,74,1.36740581955186,0
1,8,75,1.33376261538237,0
1,8,76,1.37055405229176,0
1,8,77,1.44928789478885,0
1,8,78,1.27495562127456,0
1,8,79,1.31753035703471,0
1,8,80,1.39705081157702,0
1,8,81,1.42961400742552,0
1,8,82,1.3126660813253,0
1,8,83,1.42718987432454,0
1,8,84,1.48315268591338,0
1,8,85,1.62950672614075,0
1,8,86,1.4054244244806,0
1,8,87,1.47347299144115,0
1,8,88,1.42381492316337,0
1,8,89,1.23832950434144,0
1,8,90,1.43118225682887,0
1,8,91,1.47558485071483,0
1,8,92,1.48082441381041,0
1,8,93,1.30403897719253,0
1,8,94,1.44156090453306,0
1,8,95,1.38909618614057,0
1,8,96,1.37702419450895,0
1,8,97,1.42200667014193,0
1,8,98,1.38623317018081,0
1,8,99,1.40742955934226,0
1,8,100,1.28128661916173,0
2,1,1,1.38035399492828,0
2,1,2,1.34661391734384,0
2,1,3,1.45912618469824,0
2,1,4,1.34276979534722,0
2,1,5,1.51180136930882,0
2,1,6,1.46245802990489,0
2,1,7,1.34764518003916,0
2,1,8,1.21269340376468,0
2,1,9,1.47926675024074,0
2,1,10,1.47436165541997,0
2,1,11,1.38232950271505,0
2,1,12,1.37775945545294,0
2,1,13,1.51740726378778,0
2,1,14,1.30243822654705,0
2,1,15,1.41905045714194,0
2,1,16,1.30025239650273,0
2,1,17,1.41815237262666,0
2,1,18,1.47896842741775,0
2,1,19,1.32975015321056,0
2,1,20,1.47364256547603,0
2,1,21,1.43443675350864,0
2,1,22,1.52106480787673,0
2,1,23,1.44747340302529,0
2,1,24,1.47802799791413,0
2,1,25,1.38155398834036,0
2,1,26,1.45971802528855,0
2,1,27,1.48643290649328,0
2,1,28,1.4249951079103,0
2,1,29,1.34116427151188,0
2,1,30,1.33355798820816,0
2,1,31,1.36293937446871,0
2,1,32,1.29694657627344,0
2,1,33,1.43137237814402,0
2,1,34,1.35659363015361,0
2,1,35,1.45686056239405,0
2,1,36,1.29937989304685,0
2,1,37,1.38554228959786,0
2,1,38,1.45536234113989,0
2,1,39,1.51953383239667,0
2,1,40,1.54702967091997,0
2,1,41,1.34326657154339,0
2,1,42,1.43010026924605,0
2,1,43,1.35290041564943,0
2,1,44,1.4679387361746,0
2,1,45,1.4060599753763,0
2,1,46,1.40563131904185,0
2,1,47,1.44284707844553,0
2,1,48,1.36927404898884,0
2,1,49,1.41743858939764,0
2,1,50,1.47879868303189,0
2,1,51,1.58683704319031,0
2,1,52,1.32895248288229,0
2,1,53,1.42595285749978,0
