Network,Lambda,PrepPR,MovePR,PrepCaptured15,MoveCaptured15,ObservedAlignment,ExpectedAlignment,AlignmentDeficit,MotorError200Percent,FeedbackEffort,GainFrobeniusNorm
3,5,3.29110223036547,3.3968962524845,0.99980672182564,0.998558863190076,0.928958036276676,0.84069926861312,-0.0882587676635558,0.472331981806791,3.47955578799217,5.93698668380083
3,10,3.29771698809374,3.40773874993661,0.999797193226104,0.998600126378114,0.903581311414784,0.84069926861312,-0.0628820428016641,1.16936027328366,2.07711396833043,4.05716605952811
3,100,3.39091544887626,3.47322792583783,0.999786625222014,0.998643235039403,0.821229373530567,0.84069926861312,0.019469895082553,13.3899678328705,0.225884854030094,0.949663672413151
4,0.1,2.7549970199867,3.30602277626651,0.999932934987723,0.998629455667555,1,0.866707192959725,-0.133292807040275,0.00741468604928436,23.5875942359489,44.2668782594461
4,0.2,2.72501208793195,3.28363669347111,0.999922221173042,0.998653736458678,0.997283921222118,0.866707192959725,-0.130576728262392,0.0173068462817822,16.6977218420826,31.1991514158376
4,0.5,2.66954551306117,3.24288616776657,0.999901565598642,0.998702650734017,0.981777063166751,0.866707192959725,-0.115069870207026,0.050683668660717,10.3823466883624,19.6067121067582
4,1,2.61168917695475,3.19981320209638,0.999879895372052,0.998746661447004,0.959222247320519,0.866707192959725,-0.0925150543607938,0.107723959518182,7.03773991812831,13.7606242265949
4,2,2.55484607619171,3.15411035580396,0.999855068636638,0.998801170739967,0.930365100699128,0.866707192959725,-0.0636579077394022,0.232454353024945,4.59398388429931,9.61918417401828
4,5,2.50992015403796,3.11205442015267,0.999831331371451,0.998861130549482,0.894085341033011,0.866707192959725,-0.027378148073286,0.646198600867318,2.43046300070508,5.92956559303681
4,10,2.50841393220695,3.10399136837939,0.999813072419724,0.998895553313124,0.869242315718199,0.866707192959725,-0.00253512275847334,1.33937500380261,1.41334834264274,4.06026639693117
4,100,2.62068914078167,3.16095454052005,0.999704159304937,0.998947548242288,0.802135777257975,0.866707192959725,0.0645714157017504,11.5574075594101,0.156154137397538,0.992836295214064
5,0.1,3.38194728916642,3.34624863377946,0.999918122987951,0.99832461479976,1,0.845906380440937,-0.154093619559063,0.00414703546218085,27.3364320010854,44.2817335322715
5,0.2,3.38102136599454,3.34735798610227,0.99990764517947,0.998326712690917,0.998644294303477,0.845906380440937,-0.15273791386254,0.00886600460606853,19.4059660353028,31.2152749159172
5,0.5,3.38204541222258,3.36062590176427,0.999883489776401,0.998318029000784,0.992267569836973,0.845906380440937,-0.146361189396036,0.0263705780315553,12.1023232133422,19.6195218989017
5,1,3.38770311344613,3.38744677143418,0.999854579055772,0.998305020257395,0.983589914264937,0.845906380440937,-0.137683533824,0.0639941481796058,8.2034707552071,13.7650951626336
5,2,3.39760394907439,3.42841040390594,0.99982421852074,0.998294506882316,0.97227772603404,0.845906380440937,-0.126371345593102,0.152605627410962,5.33350422349488,9.61067310013185
5,5,3.407733764691,3.4865237223402,0.99978191772659,0.998307827514886,0.951309721674657,0.845906380440937,-0.105403341233719,0.442135830339577,2.7910260343813,5.9015626589598
5,10,3.41011195943822,3.51891399156259,0.999752938444495,0.998343672746424,0.932064263575768,0.845906380440937,-0.0861578831348305,0.996672977779871,1.61148824371187,4.02085564072158
5,100,3.53180804228385,3.55199814676133,0.999637343775875,0.998426200050659,0.865681876698242,0.845906380440937,-0.0197754962573049,12.0765813908895,0.173856592333497,0.951042313721548
6,0.1,3.19306440734055,3.40025696625296,0.999931580691285,0.99827858737711,1,0.855798158760063,-0.144201841239937,0.0181200871143793,32.8139723989887,44.1823103459215
6,0.2,3.20468820592861,3.40408651882164,0.999921644146196,0.998284936527087,0.999115312177792,0.855798158760063,-0.143317153417729,0.0209144018728612,23.3241143246178,31.1193220235329
6,0.5,3.2316059603428,3.42269625760617,0.999906931955335,0.998287894587755,0.99515081744051,0.855798158760063,-0.139352658680447,0.0293587393401891,14.6981619822532,19.5321020591322
6,1,3.25621795324755,3.44656880194861,0.999891814399888,0.998285780714509,0.989565592152605,0.855798158760063,-0.133767433392542,0.0478575951523687,10.111823913305,13.687801494915
6,2,3.27665673323759,3.47322930208747,0.999872634280152,0.998284203274643,0.980792190503665,0.855798158760063,-0.124994031743602,0.101831830843159,6.70061504453979,9.54611637082754
6,5,3.28089855297949,3.49376624793206,0.999844858436457,0.998291087010683,0.961575817966646,0.855798158760063,-0.105777659206583,0.34363606875331,3.60849425999148,5.85448306795997
6,10,3.25932957987092,3.48491037093656,0.999818634550472,0.99831152929522,0.940089643573834,0.855798158760063,-0.0842914848137705,0.913203801416025,2.13079846397157,3.98421820896804
6,100,3.08648635417593,3.35264207197781,0.999723383073869,0.998393205949691,0.852761168353832,0.855798158760063,0.00303699040623107,12.8155094930141,0.232318226342376,0.929840937774998
7,0.1,3.19346402461397,3.4496819070916,0.999918766200573,0.99810917909407,1,0.843600752537567,-0.156399247462433,0.00314644082420914,31.6970209883449,44.236071004467
7,0.2,3.20177937796298,3.45323362205783,0.999903879667934,0.998110633072324,0.998592487841817,0.843600752537567,-0.15499173530425,0.00748964444974418,22.5544503360359,31.1741045249123
7,0.5,3.20889085292426,3.45545150974699,0.999881720648216,0.998119229362581,0.991697472026499,0.843600752537567,-0.148096719488932,0.0231126610571689,14.1954502035597,19.5864210537172
7,1,3.20639060765358,3.45219071827546,0.999861103268632,0.99814065726588,0.981348274819412,0.843600752537567,-0.137747522281845,0.0538355580004119,9.73967929999235,13.7397216135194
7,2,3.18932220882245,3.43929490367233,0.999838810360776,0.998184140277607,0.965818485891018,0.843600752537567,-0.122217733353451,0.125529771573938,6.43251769176224,9.59371634235974
7,5,3.13669092853405,3.39940997018635,0.999814536453447,0.998289645981537,0.937466797776751,0.843600752537567,-0.0938660452391841,0.391341963172145,3.4382290886452,5.89442919271591
7,10,3.09639832121562,3.35886543298198,0.9997949847785,0.998385137526425,0.911721353760881,0.843600752537567,-0.0681206012233135,1.013977018221,2.00620099892072,4.01778995781477
7,100,3.18412650786598,3.27019263188719,0.999734173820831,0.998575881065616,0.841546648295204,0.843600752537567,0.00205410424236341,12.982111623732,0.202456536699534,0.943320450535989
8,0.1,3.18758142535544,3.44410612625744,0.999944444851115,0.998200861297277,1,0.848458980592956,-0.151541019407044,0.00367374279359247,29.3688712392171,44.3004555362111
