network,eta,condition,spectral,biasRatio,goRms,convergence,pr,controlK,observed,expected,r2,prepAdmissible,undefined
9,0,1,-1.27988387529742,0.736812317915768,2.94076327649158,-1.25393855088164,3.14529670096994,7,0.33346201757928,0.487623746311714,0.941779959246778,1,0
9,0,2,-1.27946292272926,0.773075634301497,3.27721153526895,-1.49042781410934,6.34525050664687,7,0.33346201757928,0.487623746311714,0.820192449812386,1,0
10,1,1,-6.91766606768837,0.09934995349188,1.35870736010085,-0.125967678134968,3.38395520287261,5,0.333911978863418,0.515562706561063,0.993863288747425,1,0
10,1,2,-6.66666666666668,0.103609909169163,1.41769638395048,-0.161052801149724,6.7366569791281,5,0.333911978863418,0.515562706561063,0.963942439647509,1,0
10,0.75,1,-5.57097854962773,0.132164250455316,1.54147271366387,-0.253718024030842,3.39080582565295,5,0.33452411101693,0.512383236590742,0.990602545801565,1,0
10,0.75,2,-5.31997914860599,0.144580531338371,1.62292382711868,-0.307635376894017,6.74651907130438,5,0.33452411101693,0.512383236590742,0.952179392788894,1,0
10,0.5,1,-4.22429103156704,0.204236484044005,1.81207833516334,-0.45860344808076,3.40473363856983,5,0.336575726909492,0.503143971290481,0.987561518239589,1,0
10,0.5,2,-3.97329163054534,0.231819030544436,1.93088177456489,-0.535627115151606,6.76329024264801,5,0.336575726909492,0.503143971290481,0.876877052778163,1,0
10,0.25,1,-2.87760351350637,0.357210325516086,2.24300091536964,-0.785527954217115,3.43354768764667,6,0.339856121372481,0.534931568566803,0.957287921785579,1,0
10,0.25,2,-2.62660411248468,0.410872857034916,2.42566649405529,-0.90059316965695,6.78167090465659,6,0.339856121372481,0.534931568566803,0.811931492942622,1,0
10,0,1,-1.5309159954457,0.670111164447604,2.97913248104427,-1.33413383425824,3.4760687360246,6,0.357895185474616,0.47354729679026,0.90549018733104,1,0
10,0,2,-1.27991659442401,0.766273063939329,3.26798591668999,-1.50345864428381,6.7586286942123,6,0.357895185474616,0.47354729679026,0.74827472203178,1,0
