network,eta,condition,target,rawBias,cueDistance,biasRatio,goRms,convergence
3,1,1,6,0.241347850821247,3.48612779689776,0.0692309246482638,1.30711780761982,-0.113070216276742
3,1,1,7,0.238688178276733,2.95206406492815,0.0808546742302975,1.27468645028384,-0.0509942616177648
3,1,1,8,0.260177755119937,2.73380849968821,0.0951704390229273,1.29319320876343,-0.0503221826292071
3,1,2,1,0.248145916760153,2.73823499034793,0.0906225790097814,1.36000120522306,-0.129431025756396
3,1,2,2,0.272547123091734,2.79588556865418,0.0974815014417513,1.32182844656702,-0.0722329901035937
3,1,2,3,0.2847028935823,2.93065905256702,0.0971463716780441,1.36079300541015,-0.0792321029076729
3,1,2,4,0.310622859171976,2.9136795641655,0.106608448983971,1.354294299216,-0.0817787355657738
3,1,2,5,0.290532915576622,2.78718599203081,0.104238797269835,1.34579555670531,-0.104611047122701
3,1,2,6,0.268273440281444,2.9172384203022,0.0919614380553966,1.35926087191518,-0.130988370636747
3,1,2,7,0.272518867841996,2.89482504214831,0.094140013256122,1.3377552075583,-0.0921399583379346
3,1,2,8,0.282146617312293,2.84372241972506,0.0992173551663214,1.34978050202127,-0.0899437935262549
3,0.75,1,1,0.33080095125034,2.65585373419947,0.124555410183404,1.48537178501543,-0.24169654371516
3,0.75,1,2,0.307801968669367,2.8873008879054,0.10660543553279,1.42922157726626,-0.145507213262265
3,0.75,1,3,0.348842522926192,2.91180688061971,0.119802767569513,1.48895499670462,-0.170830766328218
3,0.75,1,4,0.372407245540209,2.37263139214376,0.156959587896089,1.48437848534255,-0.182480632151936
3,0.75,1,5,0.391979952076277,2.57145139864698,0.152435294823198,1.47952006325564,-0.213497197310794
3,0.75,1,6,0.327694176657478,3.48612779689776,0.0939994732691922,1.49417109994931,-0.247004382508051
3,0.75,1,7,0.300743063762707,2.95206406492815,0.101875520702843,1.45368876565471,-0.183491050987426
3,0.75,1,8,0.351753378755284,2.73380849968821,0.128667892720138,1.47604624683413,-0.162183447390024
3,0.75,2,1,0.333042600355312,2.73823499034793,0.121626741871776,1.56637257381382,-0.279526106663521
3,0.75,2,2,0.367282944345203,2.79588556865418,0.131365513833242,1.52040582270811,-0.218101059670818
3,0.75,2,3,0.378764338278493,2.93065905256702,0.129242034465499,1.56950802933367,-0.223806963104147
3,0.75,2,4,0.449521637838711,2.9136795641655,0.154279709878618,1.5626651491265,-0.220642134318608
3,0.75,2,5,0.412702235777031,2.78718599203081,0.148071293755436,1.56047919967872,-0.26085436911511
3,0.75,2,6,0.387957438945133,2.9172384203022,0.132987909471227,1.56318687348526,-0.277715903821653
3,0.75,2,7,0.381255617986515,2.89482504214831,0.131702473356931,1.54227433777863,-0.243558332700921
