network,eta,condition,target,trial,fold,referenceK95,cueDistance,pregoDistance,convergence,foldMean
9,0.5,1,3,30,1,73,3.17065404007792,4.36989036836605,-0.378229952914908,-0.38051672614963
9,0.5,1,4,1,2,78,3.85604875057274,5.16301113215403,-0.338938241220928,-0.395230705829478
9,0.5,1,4,2,3,79,3.56645145742996,4.31378913144726,-0.209546571133155,-0.423417486887076
9,0.5,1,4,3,3,79,3.70816542099612,4.49735421169821,-0.212824591436402,-0.423417486887076
9,0.5,1,4,4,3,79,3.16651971392997,5.30756426648052,-0.676150709920357,-0.423417486887076
9,0.5,1,4,5,3,79,3.80712875995892,5.68237491440284,-0.492561789390113,-0.423417486887076
9,0.5,1,4,6,1,80,3.75404438328414,5.56987982491318,-0.483701111716877,-0.480142648488056
9,0.5,1,4,7,2,78,3.51135877699298,3.92753505389615,-0.118522857769485,-0.395230705829478
9,0.5,1,4,8,2,78,3.3587925594917,4.01448913667963,-0.195217943821799,-0.395230705829478
9,0.5,1,4,9,2,78,3.1468549419412,4.1611681173797,-0.322326002994215,-0.395230705829478
9,0.5,1,4,10,1,80,3.11507210629559,4.80274035935305,-0.541775020118046,-0.480142648488056
9,0.5,1,4,11,2,78,3.26994738892997,5.24310365451807,-0.603421410469172,-0.395230705829478
9,0.5,1,4,12,3,79,3.37050724117802,4.53881480057708,-0.346626627922844,-0.423417486887076
9,0.5,1,4,13,1,80,3.23424417235181,5.88104962520732,-0.818369087739861,-0.480142648488056
9,0.5,1,4,14,1,80,4.28197434781183,4.9204945898995,-0.149118184795752,-0.480142648488056
9,0.5,1,4,15,3,79,3.87812152120812,4.69165290033251,-0.209774596973163,-0.423417486887076
9,0.5,1,4,16,3,79,3.47332749204173,4.28389522433301,-0.233369221344226,-0.423417486887076
9,0.5,1,4,17,1,80,3.90894168189808,5.37707344003847,-0.375582926943925,-0.480142648488056
9,0.5,1,4,18,2,78,3.11201862482227,4.90187577496309,-0.575143457003907,-0.395230705829478
9,0.5,1,4,19,3,79,3.0753758573941,5.78363593526516,-0.880627345551798,-0.423417486887076
9,0.5,1,4,20,1,80,3.49317932905558,4.55693619264467,-0.30452397755276,-0.480142648488056
9,0.5,1,4,21,1,80,3.45004307749784,5.59488780870881,-0.621686362468995,-0.480142648488056
9,0.5,1,4,22,2,78,4.0038423476736,5.07837666145182,-0.268375780180896,-0.395230705829478
