network,source,amplitude,PR,observed,expected,deficit,normalizedResidualVariance,rawResidualVariance,rateMax,stateMax,inputMax,boundsPass,numericalRank
2,2,0,3.84413403925509,0.995111029101133,0.526482765883759,-0.468628263217373,0.00041975008175167,3.18802529820243e-05,2.22541100194132,15.2984850792869,20.5453107201828,1,62
2,2,0.05,3.86456223581172,0.998771460309517,0.526482765883759,-0.472288694425758,0.0312468125594757,0.00235843766839796,2.29743941283272,15.306472814314,20.5857904014967,1,77
2,2,0.1,3.90382172766591,1,0.526482765883759,-0.473517234116241,0.123582118665323,0.00932552972637114,2.41909872818383,15.6043862543278,20.8078949458722,1,77
2,2,0.2,4.03636279989846,0.995267206222564,0.526482765883759,-0.468784440338805,0.491682017810516,0.0370795351154646,2.74952501758852,16.645872834511,21.5095294168865,1,77
2,2,0.4,4.4922045434442,0.960777743815453,0.526482765883759,-0.434294977931694,1.89962402822372,0.143006442550712,3.42951741864337,19.0988831595117,23.079378437294,1,77
3,1,0,3.25029072045097,0.999986446338407,0.485603285380704,-0.514383160957703,0.113030607767645,0.00860542118145088,2.42114126523919,16.1416689652341,13.8314395400655,1,77
3,1,0.05,3.25016926221783,0.99999656283307,0.485603285380704,-0.514393277452367,0.113078510855958,0.00860931370166178,2.41842051385048,16.1407545125278,13.9100472258685,1,77
3,1,0.1,3.25011152703259,1,0.485603285380704,-0.514396714619297,0.113263859618599,0.00862372781884995,2.44270242055077,16.1452254128514,14.1036410366605,1,77
3,1,0.2,3.25016956413032,0.99998574151607,0.485603285380704,-0.514382456135366,0.114047116854932,0.00868408386542003,2.49148951264424,16.4659502631142,14.6291289871054,1,77
3,1,0.4,3.2510641321184,0.999865479418261,0.485603285380704,-0.514262194037557,0.117260048705711,0.00893052021465683,2.91783333191221,17.9579869057038,16.1622259662173,1,77
3,2,0,3.23015454472498,0.995610477386005,0.485603285380704,-0.510007192005301,0.00027987109053302,2.13754844954926e-05,2.27993438769645,15.5759404156686,14.1036410366605,1,58
3,2,0.05,3.23152019756745,0.998893310472164,0.485603285380704,-0.51329002509146,0.0285219748742243,0.00217175604911971,2.34110311236022,15.6897118747805,14.1036410366605,1,77
3,2,0.1,3.25011152703259,1,0.485603285380704,-0.514396714619297,0.113263859618599,0.00862372781884995,2.44270242055077,16.1452254128514,14.1036410366605,1,77
3,2,0.2,3.33835866171606,0.99561061404057,0.485603285380704,-0.510007328659866,0.451853348871068,0.0344017826629435,2.64631373848629,17.2085452172344,14.5860795456318,1,77
3,2,0.4,3.6951980401295,0.963450652147927,0.485603285380704,-0.477847366767223,1.75866029804415,0.133694900158037,3.19419377310206,19.5644970482982,16.4367696585401,1,77
4,1,0,3.34496733560327,0.999968093270077,0.482990416585816,-0.516977676684262,0.125511805894492,0.0096098875421838,2.52110911806917,15.9944921593596,13.8299537410207,1,77
4,1,0.05,3.34478064192094,0.999991992139198,0.482990416585816,-0.517001575553383,0.125552912831988,0.00961295229214177,2.53122974596005,16.0345712865479,13.9566830092366,1,77
4,1,0.1,3.34468987266365,1,0.482990416585816,-0.517009583414185,0.125863051974729,0.00963658991041453,2.54135037385094,16.0799010415577,14.1145400662481,1,77
4,1,0.2,3.34474661202411,0.999967738701029,0.482990416585816,-0.516977322115213,0.127291051045094,0.00974559056279755,2.56159162963271,16.594374404591,14.5266672555454,1,77
4,1,0.4,3.34573477482015,0.999706966984117,0.482990416585816,-0.516716550398301,0.13333789031797,0.0102072649648934,2.8086458662769,17.9059256801871,15.956649198158,1,77
4,2,0,3.29120863694078,0.995358648841826,0.482990416585816,-0.512368232256011,0.000541602346786517,4.14180604391565e-05,2.22788000495325,15.6167814043508,14.1145400662481,1,62
4,2,0.05,3.30774863664427,0.99884691688858,0.482990416585816,-0.515856500302764,0.0318232322701323,0.0024363844320455,2.36264863954609,15.7840419346391,14.1145400662481,1,77
4,2,0.1,3.34468987266365,1,0.482990416585816,-0.517009583414185,0.125863051974729,0.00963658991041453,2.54135037385094,16.0799010415577,14.1145400662481,1,77
4,2,0.2,3.4758014952756,0.995605734539564,0.482990416585816,-0.512615317953748,0.501627748639024,0.0383963325680316,2.89873826927861,17.0708983713959,14.1145400662481,1,77
4,2,0.4,3.92771427118097,0.963114599068649,0.482990416585816,-0.480124182482833,1.93144831483482,0.147562510557172,3.61184525180932,19.5564635123974,15.6025423133233,1,77
5,1,0,3.98265203718975,0.999970610940679,0.521700076613373,-0.478270534327306,0.136122801679568,0.00928750578759039,2.50997277830894,15.5836255932288,14.015277920497,1,77
5,1,0.05,3.98216409507097,0.999992621232858,0.521700076613373,-0.478292544619485,0.136262931835955,0.00929756546951648,2.52099388420947,15.6648428943139,14.0476916608763,1,77
5,1,0.1,3.98170929917181,1,0.521700076613373,-0.478299923386627,0.136646020363604,0.00932412545247295,2.53201499011,15.7546413976501,14.0820530327668,1,77
5,1,0.2,3.98090727220429,0.999970008627647,0.521700076613373,-0.478269932014273,0.138142143467973,0.00942679897869914,2.55405720191105,16.2002069488873,14.4149466419788,1,77
5,1,0.4,3.97959263642718,0.999723107350865,0.521700076613373,-0.478023030737492,0.144046612602193,0.00983002229827148,2.77544154621817,17.8331579896021,15.6027153481793,1,77
5,2,0,3.94493636527294,0.994001966428503,0.521700076613373,-0.472301889815129,0.000487594366433116,3.31103093071803e-05,2.29070449012499,15.5304940377957,14.0820530327668,1,60
5,2,0.05,3.95323962606022,0.998484986294604,0.521700076613373,-0.476784909681231,0.0345487899024255,0.00235793265460164,2.39356799965157,15.5383863067115,14.0820530327668,1,77
5,2,0.1,3.98170929917181,1,0.521700076613373,-0.478299923386627,0.136646020363604,0.00932412545247295,2.53201499011,15.7546413976501,14.0820530327668,1,77
5,2,0.2,4.09920694437615,0.993877542319796,0.521700076613373,-0.472177465706423,0.543906433168117,0.0370939891993738,2.80890897102684,16.3384094961428,14.0820530327668,1,77
5,2,0.4,4.53216391563023,0.949191331884258,0.521700076613373,-0.427491255270884,2.09428252721928,0.142399591435027,3.36310728453796,18.7183767662059,15.7737978709421,1,77
6,1,0,3.87295230829589,0.999989308242736,0.54230973232347,-0.457679575919266,0.119754782515768,0.00828048463280261,2.38522077384749,15.4991234386115,18.3230070519385,1,77
6,1,0.05,3.87295016145162,0.999997336591677,0.54230973232347,-0.457687604268207,0.119790973968287,0.00828384778854353,2.39141053981377,15.464840789553,18.410833387949,1,77
6,1,0.1,3.87298122477783,1,0.54230973232347,-0.45769026767653,0.119946707925,0.00829545197059969,2.39757669592638,15.5080055344784,18.5043528577744,1,77
6,1,0.2,3.87309882374589,0.999989368789517,0.54230973232347,-0.457679636466046,0.120617333161216,0.00834340758979929,2.47988760963068,15.9326592346288,18.7081244938061,1,77
6,1,0.4,3.87366494389309,0.999903526907586,0.54230973232347,-0.457593794584116,0.123375603516181,0.00853703458293702,2.74130840634136,17.3155056562219,19.1800077489678,1,77
6,2,0,3.80464525476218,0.995077191352758,0.54230973232347,-0.452767459029288,0.00024075842985926,1.65952765170298e-05,2.28910745657496,15.1005738166287,18.5043528577744,1,60
6,2,0.05,3.83041493382678,0.998751745336941,0.54230973232347,-0.456442013013471,0.0301561650744893,0.00208614455501187,2.310333690611,15.2179437394886,18.5043528577744,1,77
6,2,0.1,3.87298122477783,1,0.54230973232347,-0.45769026767653,0.119946707925,0.00829545197059969,2.39757669592638,15.5080055344784,18.5043528577744,1,77
6,2,0.2,4.0111013383963,0.995124104066324,0.54230973232347,-0.452814371742854,0.478398327693438,0.0330707615724391,2.63001784801991,16.3729695844996,18.5043528577744,1,77
6,2,0.4,4.48623577198054,0.95873227752763,0.54230973232347,-0.41642254520416,1.8623732566354,0.128507693148369,3.29930045811666,18.6026590118859,18.5052271529326,1,77
