network,policy,PR,observed,expected,deficit,normalizedResidualVariance,meanEndpointRmsMM,medianMOms,medianPeakMs,medianPeakMps,separationToScatter,half1PR,half2PR,half1CaptureControlK,half2CaptureControlK,half1OntoHalf2,halfNull
4,1,3.34468987266365,1,0.482990416585816,-0.517009583414185,0.125863051974729,20.330671739381,56,200,0.416213349310234,7.08964855308412,3.39398751925369,3.37276338017292,0.979259186976787,0.978412136260828,0.977060779471389,0.535816789941291
4,2,3.36453933285218,0.996417687103806,0.482990416585816,-0.51342727051799,0.137293604680406,29.0334059031358,55,199.5,0.414434234768858,4.86805771689788,3.42120461042342,3.39037173676306,0.978439405094834,0.977639306484792,0.973693429848837,0.534868464262021
4,3,6.08332011098139,0.321007444368805,0.482990416585816,0.161982972217011,0.125923565568902,20.2314855639334,39,185,0.277120083079227,4.28462308794867,6.12927787678557,6.09017939938508,0.996394158422867,0.996067737014373,0.98095173070553,0.174823797299536
4,4,6.71272327114758,0.34278365695638,0.482990416585816,0.140206759629435,0.137281660745197,28.2797704986202,49,194,0.206579755407459,2.38196308042143,6.74942654132774,6.72762041747407,0.995611621815858,0.995135928157158,0.975420763337871,0.140323051617514
5,1,3.98170929917181,1,0.521700076613373,-0.478299923386627,0.136646020363604,20.2396383032618,55,200,0.415208613813511,7.22544043960213,4.05147613961583,4.01078157457431,0.972854794954205,0.975460777721406,0.974108950118519,0.518008714730043
5,2,4.01438747099676,0.997121106002682,0.521700076613373,-0.475421029389308,0.148647282304283,31.681008104298,55,201,0.417303763197058,4.77448816608612,4.09730855400921,4.03713163730434,0.971024893309991,0.974250766910734,0.971747029223603,0.514715784286475
5,3,6.11049535225745,0.300585159256936,0.521700076613373,0.221114917356438,0.136754484844542,19.9945195394189,43,191.5,0.293268620113788,4.88650483779445,6.16524975797007,6.11502136469793,0.995949568286088,0.99607073379194,0.978610881519714,0.173866426481817
5,4,6.82485947768546,0.293626015359861,0.521700076613373,0.228074061253512,0.148796400696764,30.4776049089435,54,208,0.235335035043647,2.72794261272042,6.86337806525704,6.84383026823386,0.995120022319272,0.995278057145932,0.973789955142099,0.126902473516576
6,1,3.87298122477783,1,0.54230973232347,-0.45769026767653,0.119946707925,17.7139518245326,56,200,0.416365111216693,8.18132259594809,3.90933850862561,3.91461580727244,0.9646437732332,0.963993002428888,0.97939213370578,0.540093730074278
6,2,3.86083500083886,0.998173400013147,0.54230973232347,-0.455863667689677,0.129040371462708,27.2676458172097,56,200,0.416533167771857,5.29650077052512,3.89605168702751,3.9084433087878,0.964062489501794,0.963542474008915,0.9777680501896,0.54110959089695
