network,policy,target,endpointRmsMM,medianMOms,medianPeakMs,medianPeakSpeedMps,nearZero,boundaryPeak,missingWindow
7,2,3,38.7496153813876,55,202.5,0.429181070487752,0,0,0
7,2,4,35.2814984830949,57,201,0.414069023699831,0,0,0
7,2,5,28.3642594508399,55,199,0.416499286839988,0,0,0
7,2,6,24.5954581605708,54,200,0.415544896611244,0,0,0
7,2,7,26.4518458705468,54,200.5,0.42016852642539,0,0,0
7,2,8,29.1565189129946,56,200.5,0.424663575741434,0,0,0
7,3,1,16.5793287361803,37,194.5,0.331198001195001,0,0,0
7,3,2,24.6365646723002,42,196,0.312237399247124,0,0,0
7,3,3,26.4404266040288,38,183,0.270770932251966,0,0,0
7,3,4,21.243766998651,42,196.5,0.31731127089895,0,0,0
7,3,5,16.7456811536168,30.5,168.5,0.277488757316468,0,0,0
7,3,6,15.252957832022,42,190,0.283522652547922,0,0,0
7,3,7,15.9999559244223,45,198,0.304881155337716,0,0,0
7,3,8,19.7800874951788,48.5,203,0.329108825396498,0,0,0
7,4,1,25.1985615794846,43,210,0.29621517871259,0,0,0
7,4,2,39.0565140787575,63,225.5,0.243407903609397,0,0,0
7,4,3,36.9570927007746,54,206.5,0.190193649325278,0,0,0
7,4,4,34.4155383560542,47,198.5,0.26473357105723,0,0,0
7,4,5,27.7356505104121,34.5,178,0.183304475401011,0,4,0
7,4,6,24.1845210421251,55,204.5,0.209006604901917,0,0,0
7,4,7,27.7697367993936,65.5,231.5,0.249364655499581,0,0,0
7,4,8,30.2740060312025,55.5,217.5,0.317534474613181,0,0,0
8,1,1,18.3668875014247,55.5,199.5,0.417246105015865,0,0,0
8,1,2,19.9439786936962,56,199.5,0.423010803298191,0,0,0
8,1,3,18.7716548455326,55,202,0.422392864403802,0,0,0
8,1,4,20.2759372053491,56,200.5,0.414876884401108,0,0,0
8,1,5,17.6166090589667,55,201.5,0.412559010344703,0,0,0
8,1,6,21.5974298471386,56,201,0.419086304016338,0,0,0
8,1,7,20.7366750031597,55,201,0.423956380070596,0,0,0
8,1,8,20.3425915846471,56,199.5,0.415995231287643,0,0,0
8,2,1,26.9065521333073,54.5,199,0.421079041018011,0,0,0
8,2,2,27.3190495078928,56,199,0.430775202484526,0,0,0
8,2,3,28.4414916378912,55,202,0.418432824334696,0,0,0
8,2,4,30.4062758446322,55.5,200.5,0.415774631547944,0,0,0
8,2,5,27.176674630871,54,200,0.404759619525252,0,0,0
8,2,6,33.7912448735384,55,201.5,0.418901196106991,0,0,0
8,2,7,30.1655251052526,54,201,0.418786033390343,0,0,0
8,2,8,26.3673372216063,55.5,200,0.424030125909115,0,0,0
8,3,1,18.802199954159,42.5,182,0.255975000318515,0,0,0
8,3,2,19.4748183889535,43,195,0.318123862218782,0,0,0
8,3,3,18.1070918099642,36,177,0.238450841358479,0,0,0
8,3,4,20.4853775501858,34,170,0.24556397382759,0,0,0
8,3,5,16.815210843294,64.5,214,0.230357037052867,0,0,0
8,3,6,21.5310223335809,41,192,0.292369247997874,0,0,0
8,3,7,20.1439501714712,44,189.5,0.313505614712342,0,0,0
8,3,8,20.6028839923608,34.5,178,0.259472318708877,0,0,0
8,4,1,27.3596358099619,54.5,198,0.208589181919501,0,0,0
8,4,2,25.1701293608078,65,223,0.238924108787802,0,0,0
8,4,3,26.4504389491512,52.5,218,0.183627167548018,0,0,0
8,4,4,30.2169194425452,47,291,0.153142614026536,0,0,0
8,4,5,25.8228978626998,83.5,237.5,0.22992956794612,0,0,0
8,4,6,34.0278975733746,53,214,0.240748623456891,0,1,0
8,4,7,28.4346666783228,59,210,0.214275082904552,0,0,0
8,4,8,28.963045024494,54.5,233.5,0.176893016699354,0,1,0
9,1,1,25.2945916705504,56.5,203,0.419824483635348,0,0,0
9,1,2,17.1296171616134,56,199,0.418173890925404,0,0,0
9,1,3,20.3045857187458,55,202,0.417673384588672,0,0,0
9,1,4,20.2221937607924,56,202.5,0.417937664117688,0,0,0
9,1,5,20.6497665424368,55,201,0.421797018670082,0,0,0
9,1,6,19.0228248301533,55,203,0.420989197800175,0,0,0
9,1,7,17.0782010401418,55,201,0.409222432031081,0,0,0
9,1,8,15.1794573929871,55.5,199,0.421891660931486,0,0,0
9,2,1,35.6950151333738,56.5,202.5,0.425651937808562,0,0,0
9,2,2,25.125647216215,56,199,0.413439448075554,0,0,0
9,2,3,34.202785268459,55,200,0.417354500057403,0,0,0
9,2,4,31.0701760008389,56,201.5,0.431101769994534,0,0,0
9,2,5,30.2950980286022,54.5,199.5,0.418880815956838,0,0,0
9,2,6,30.7843332577204,55,203,0.42506107066307,0,0,0
9,2,7,24.8286344326342,54,201,0.409898910207164,0,0,0
9,2,8,24.1028444167059,56,198.5,0.42519987230469,0,0,0
9,3,1,25.861296402965,44,179.5,0.254082805728124,0,0,0
9,3,2,16.8305127584994,43,186,0.305488361941599,0,0,0
9,3,3,19.8317417899854,43,202,0.336381624444481,0,0,0
9,3,4,20.1078915395134,50,199,0.25167149423546,0,0,0
9,3,5,20.3006674051115,39,179,0.262297644067907,0,0,0
9,3,6,18.9011340388963,38,176,0.308670985496448,0,0,0
9,3,7,16.7396141838123,38,185.5,0.301565001814238,0,0,0
9,3,8,15.4495768153337,51,196,0.29725274110304,0,0,0
9,4,1,36.4492014638618,56.5,198,0.200251785982045,0,1,0
9,4,2,23.0739533822138,63,209,0.229749657716664,0,0,0
9,4,3,33.4209294591656,55,231,0.338329102433804,0,0,0
9,4,4,30.9554776037111,59,207.5,0.208089641103081,0,0,0
9,4,5,28.7068291737929,44,176,0.164614563989126,0,0,0
9,4,6,29.5021559329167,47,453.5,0.222430641659067,0,0,0
9,4,7,24.5564902622712,47,193.5,0.18460429163898,0,0,0
9,4,8,25.0261939966436,65.5,205.5,0.212798714913016,0,0,0
10,1,1,24.341422392446,57,201,0.410968804672587,0,0,0
10,1,2,25.9249207289801,57,200,0.413021971037794,0,0,0
10,1,3,22.4519623104334,55,201,0.408673202821406,0,0,0
10,1,4,18.2316535956748,57,200,0.405525869237271,0,0,0
10,1,5,24.5147871325522,56,201,0.428235923049961,0,0,0
10,1,6,20.2885239701309,56,201,0.415958778370877,0,0,0
10,1,7,23.9663904844865,55,200.5,0.408741548283258,0,0,0
10,1,8,21.7745021190876,56,199.5,0.429946120060383,0,0,0
10,2,1,33.1545557432675,57.5,200.5,0.406057725708269,0,0,0
10,2,2,40.7394627197667,57.5,199.5,0.423765638709282,0,0,0
10,2,3,39.006061506945,54,199,0.404234784404302,0,0,0
10,2,4,30.1090196734158,57,200.5,0.407525118586957,0,0,0
10,2,5,36.2412476680463,55,202,0.436006020777741,0,0,0
10,2,6,31.8503083280036,55.5,201.5,0.414937308902788,0,0,0
10,2,7,38.0424850125282,55.5,201,0.414339101357312,0,0,0
10,2,8,34.7482312623897,56,199.5,0.426697616850749,0,0,0
10,3,1,24.4788245730234,38,182,0.270573489024965,0,0,0
